fichier;classement;nb_ops;types_ops;entites_ciblees;entites_existantes_v110;attributs_requis;dependances_registre;besoin_applicateur;risque_scientifique;justification
Migration/sourcequote_effective_patch_phase1.zip (PATCH_SOURCEQUOTE_EFFECTIVE_PHASE1.json);candidat-non-applique;18;ADD_SOURCEQUOTE_WITH_SECTION_LINKS (enveloppe operations, cle op, dialecte ad hoc a resolution par noms et section_key, aucun entityId);0 (ciblage par nom et seed_id);s.o. (ciblage nominal);quoteText, page, chapter, thesisLocation, section_key;quoteText=present, page=present, chapter=present, thesisLocation=present, section_key=present (domaines compatibles SourceQuote/ThesisSection);dedie-a-ecrire (apply-sourcequote-phases.mjs + sourcequote-migration/ analysent en memoire sans rien ecrire, meme avec --write — verifie par la revue hostile);moyen;Bundle zip prepare hors depot (ChatGPT, cible declaree v96+) creant 18 SourceQuote avec liens de section, aucune trace en v110 (0 titre, 0 seed_id retrouves). Citations a verifier contre le PDF avant toute injection. ARBITRAGE Q8 (2026-08-07, Mael) : verification des 41 citations contre le PDF commandee AVANT toute decision d'application ; ni applicateur ni application d'ici la.
Migration/sourcequote_effective_patch_phase2.zip (PATCH_SOURCEQUOTE_EFFECTIVE_PHASE2.json);candidat-non-applique;10;ADD_SOURCEQUOTE_WITH_SECTION_LINKS (meme dialecte ad hoc que phase1);0 (ciblage par nom et seed_id);s.o. (ciblage nominal);quoteText, page, chapter, thesisLocation, section_key;quoteText=present, page=present, chapter=present, thesisLocation=present, section_key=present;dedie-a-ecrire (apply-sourcequote-phases.mjs analyse en memoire sans rien ecrire);moyen;Meme lot que phase1 : 10 SourceQuote nouvelles, aucune trace en v110 (0 titre, 0 seed_id, 0 extrait retrouves). Resolution des quote_supports_entity_names par nom = fragile. ARBITRAGE Q8 (2026-08-07, Mael) : verification des 41 citations contre le PDF commandee AVANT toute decision d'application ; ni applicateur ni application d'ici la.
Migration/sourcequote_effective_patch_phase3.zip (PATCH_SOURCEQUOTE_EFFECTIVE_PHASE3.json);candidat-non-applique;13;ADD_SOURCEQUOTE_WITH_SECTION_LINKS (dialecte ad hoc enrichi d'une hierarchie primary/secondary/bridge_entity_names);0 (ciblage par nom et seed_id);s.o. (ciblage nominal);quoteText, page, chapter, thesisLocation, section_key;quoteText=present, page=present, chapter=present, thesisLocation=present, section_key=present;dedie-a-ecrire (apply-sourcequote-phases.mjs analyse en memoire sans rien ecrire);moyen;13 SourceQuote nouvelles avec hierarchie de soutien, non appliquees (0 titre, 0 seed_id en v110). 3 extraits coincident avec des citations deja presentes : risque de doublon si applique tel quel. ARBITRAGE Q8 (2026-08-07, Mael) : verification des 41 citations contre le PDF commandee AVANT toute decision d'application ; ni applicateur ni application d'ici la.
new_relations_patch.json;historique;11884;ADD_RELATION (liste nue, cles type/from/to/relation_type/attributes);1230;1180;section_key, page_approx (attributs de relation);section_key=present, page_approx=absent (attribut porte par 11677 relations de v110, hors perimetre du registre qui ne decrit que les attributs d'entites);aucun;aucun;Lot v72 des 11884 relations appears_in_section (compte exact de la note CLAUDE.md). Integre au graphe : 6246 triplets encore exacts en v110 et 11450/11884 sources encore ancrees, l'ecart venant des recablages v100/v106/v109 (3970 charges rebranchees), pas d'une non-application.
patch_10_dedup_events.json;applique;9;SET_ATTRIBUTE (dialecte 2c : schemaVersion + ops, cle type, value:{type,value});4;4;duplicateOf, reviewStatus, date, dateAuthority, dateSource;duplicateOf=present, reviewStatus=present, date=present, dateAuthority=present, dateSource=present (le registre v1 les a integres apres v105);aucun (deja applique par scripts/make_v105_dedup_events.py);aucun;Depose non applique a l'epoque, version initiale au dialecte hybride et aux ops contradictoires (constats C3/C4 de docs/audits/grc20-dedup-events-audit-v1.md), reemis corrige (union-find, 10 ops -> 9) puis applique par make_v105 — note space v105 et 9/9 effets verifies en v110. Marquage duplicateOf reversible, aucune fusion.
patch_11_add_missing_chronology_events.json;applique;31;CREATE_ENTITY via new_entities (6) | CREATE_RELATION via new_relations (25) (dialecte _meta + new_entities/new_relations);21;21;chapter, date, dateSource, description, section_key, sourceChronologyCsvRow, page_approx (relation);chapter=present, date=present, dateSource=present, description=present, section_key=present, sourceChronologyCsvRow=present, page_approx=absent (attribut de relation hors registre);aucun (deja applique par scripts/make_v98_add_missing_chronology_events.py);aucun;Applique en v98 (script dedie, _meta target_graph=v98) : 6/6 entites creees vivantes et 25/25 ids de relations presents en v110.
patch_12_wire_maturation_phase.json;applique;37;CREATE_RELATION via new_relations (dialecte _meta + new_relations);38;38;aucun;s.o.;aucun (deja applique par scripts/make_v99_wire_maturation_phase.py);aucun;Applique en v99 (script dedie, _meta target_graph=v99) : 37/37 ids de relations presents en v110. Cablage additif des evenements de maturation, aucune entite modifiee.
patch_13_section_migration.json;applique;22;SET_ATTRIBUTE (12) | SET_NAME (10) (dialecte 2c avec _meta);12;12;section_key, labelEn;section_key=present, labelEn=present;aucun (deja applique par scripts/make_v100_section_migration.py);aucun;Applique en v100 avec patch_14 (le script les declare indissociables) : 22/22 effets verifies en v110. Renumerotation du chapitre I sur la numerotation propre de la these.
patch_14_section_creation.json;applique;21;CREATE_ENTITY via new_entities (3) | CREATE_RELATION via new_relations (12) | rewire_relations (6, deux variantes to_avant/to_apres et from_avant/from_apres);10;10;chapter, evidenceStatus, labelEn, labelFr, page_start, section_key;chapter=present, evidenceStatus=present, labelEn=present, labelFr=present, page_start=present, section_key=present;aucun (deja applique par scripts/make_v100_section_migration.py);aucun;Applique en v100 : 3/3 entites creees vivantes, 12/12 relations presentes, 6/6 rewires effectifs en v110. Genere par scripts/make_section_creation_patch.py.
patch_15_section_migration_corps.json;applique;46;SET_ATTRIBUTE (26) | SET_NAME (20) (dialecte 2c avec _meta);28;28;section_key, labelEn, labelFr;section_key=present, labelEn=present, labelFr=present;aucun (deja applique via scripts/make_v100_section_migration.py reutilise pour v106);aucun;Applique en v106 (docs/audits/grc20-section-migration-chapitres-II-III.md : memes scripts que v100, note space v106 : 13 renumerotations) : 46/46 effets verifies en v110.
