entity,current_type,current_chapter,proposed_type,proposed_primaryChapter,proposed_primarySection_hint,proposed_column,action,status,rationale
Monétisation,Concept,Intro / variant unclear,CoreConcept,Chap.II,II.*,Concepts,REANCHOR_OR_CREATE_CANONICAL,REVIEW,Central analytic concept mainly elaborated in chapter II.
Monnetisation,Concept,Intro,CoreConcept,Chap.II,II.*,Concepts,MERGE_INTO: Monétisation,MERGE_REVIEW,Typographic variant / duplicate.
Monnayage,Concept,Chap.II,SecondaryConcept,Chap.II,II.*,Concepts,KEEP_BUT_RELATE_TO: Monétisation,KEEP_CONFIRM,Distinct but related concept.
Développement carnavalesque,Concept,Chap.I,CoreConcept,Chap.I,I.2,Concepts,ELEVATE_CORE,KEEP_CONFIRM,One of the key concepts of the thesis.
Dynamique carnavalesque du développement infrastructurel,Concept,Intro,CoreConcept,Chap.I,I.2 (secondary Intro),Concepts,MERGE_OR_LINK_TO: Développement carnavalesque,MERGE_REVIEW,Likely variant or extended phrasing of the same core concept.
Développement infrastructurel par phases,Concept,Intro,SecondaryConcept,Chap.I,I.2,Concepts,REANCHOR,SAFE_FIX,Analytic schema mainly tied to chapter I developmental sequence.
Infrastructure sociotechnique,Concept,Intro / unclear,CoreConcept,Chap.I,I.*,Concepts,ELEVATE_CORE,REVIEW,Master concept for chapter I and the whole thesis.
Nominalisme monetaire non etatiste,Concept,Intro,CoreConcept,Chap.II,II.*,Concepts,REANCHOR,SAFE_FIX,Substantively developed in chapter II.
Mise en crise / Remise en ordre,Concept,Intro,CoreConcept,Chap.III,III.*,Gouvern.,REANCHOR,SAFE_FIX,Main elaboration belongs to chapter III.
Epreuve d'explicitation,Concept,Intro,CoreConcept,Intro,Introduction générale,Concepts,KEEP_CONFIRM,KEEP_CONFIRM,Introductory master analytic device.
Crises comme épreuves d’explicitation (non téléologiques),Argument,Intro,Argument,Intro,Introduction générale,Struct.,KEEP_CONFIRM,KEEP_CONFIRM,"Properly modeled as argument, not concept."
Esprit du code vs Lettre du code,Concept,Intro,CoreConcept,Chap.III,III.3,Gouvern.,REANCHOR_SECONDARY_INTRO,REVIEW,Introduced in intro but substantially mobilized in crisis/governance chapter.
Logique de consensus distribué,Concept,Chap.I,SecondaryConcept,Chap.I,I.1,Concepts,KEEP_CONFIRM,KEEP_CONFIRM,Core infrastructural concept in chapter I.
Gouvernance polycentrique,Concept,Chap.II,CoreConcept,Chap.II,II.3,Concepts,ELEVATE_CORE,KEEP_CONFIRM,Key concept introduced in chapter II.
Politique de crise,Concept,Intro,CoreConcept,Chap.III,III.2,Gouvern.,MERGE_OR_LINK_TO: Politique de crises,MERGE_REVIEW,Core chapter III concept; intro placement is secondary.
Politique de crises,Concept,Intro,CoreConcept,Chap.III,III.2,Gouvern.,MERGE_OR_LINK_TO: Politique de crise,MERGE_REVIEW,Plural/singular duplicate.
Discretion contrainte,Concept,Intro,SecondaryConcept,Intro,Introduction générale,Concepts,MERGE_OR_LINK_TO: Discrétion contrainte (Constrained Discretion),MERGE_REVIEW,Duplicate without accents.
