target,target_kind,evidence_needed,likely_source,status,why
Bitcoin CVE 2018-17144,entity,exact quote + page for chapter III centrality,03_chapitre_III.html,HIGH_PRIORITY,Mis-anchoring risk and view pollution.
GovernanceProcess — CVE-2018-17144 résolution,entity,quote on resolution/maintenance sequence,03_chapitre_III.html,HIGH_PRIORITY,Needed to distinguish governance process from crisis event.
Scaling Debate (2015-2017),entity,quote confirming chapter II governance clarification role,02_chapitre_II.html,HIGH_PRIORITY,Key to separating chapter II governance from chapter III crisis.
Gouvernance polycentrique,concept,quote + page introducing concept via De Filippi / Loveluck,02_chapitre_II.html,HIGH_PRIORITY,Core concept should be strongly evidenced.
Stakeholders / Shareholders,concept/category,quote where categories are defined or clarified,02_chapitre_II.html,HIGH_PRIORITY,Needed to stabilize actor hierarchy.
Développement carnavalesque,concept,quote + page from chapter I,01_chapitre_I.html,HIGH_PRIORITY,Core concept structuring chapter I and several views.
Infrastructure sociotechnique,concept,quote + page defining infrastructure lens,00_introduction.html or 01_chapitre_I.html,HIGH_PRIORITY,Master concept of the thesis.
Nominalisme monétaire non étatiste,concept,quote + page from chapter II,02_chapitre_II.html,HIGH_PRIORITY,Needed for monetization and controversy views.
Mise en crise / Remise en ordre,concept,quote + page from chapter III,03_chapitre_III.html,HIGH_PRIORITY,Core chapter III analytic pair.
The DAO,entity,quote identifying it as exceptional public governance / hard fork case,03_chapitre_III.html,HIGH_PRIORITY,Central governance-by-crisis case.
Ether Genesis Sale (ICO Ethereum 2014),entity,quote locating Ethereum emergence in chapter I.3,01_chapitre_I.html,MEDIUM_PRIORITY,Needed for re-anchoring out of chapter III.
"Frontier (lancement mainnet Ethereum, juillet 2015)",entity,quote locating Ethereum launch in chapter I.3,01_chapitre_I.html,MEDIUM_PRIORITY,Needed for re-anchoring out of chapter III.
BitcoinMarket exchange launch,entity,quote locating exchange emergence in infrastructural development,01_chapitre_I.html,MEDIUM_PRIORITY,Needed to justify move from chapter II to chapter I.
WordPress accepte les paiements en Bitcoin (2012),entity,quote locating merchant adoption in infrastructural development,01_chapitre_I.html,MEDIUM_PRIORITY,Bridge between infrastructural development and monetization.
BIP-0001 / standardisation des BIPs,entity/family,quotes distinguishing infrastructural institution-building vs governance use,01_chapitre_I.html and 02_chapitre_II.html,MEDIUM_PRIORITY,Current anchors and types are ambiguous.
Big Blockers / Small Blockers,groups,quote naming camps and clarifying their role,02_chapitre_II.html,MEDIUM_PRIORITY,Needed for correct retyping to StakeholderGroup.
Code is Law,formula/concept,quote + page from DAO discussion,03_chapitre_III.html,MEDIUM_PRIORITY,Needed to distinguish concept from native formula.
Politique de crises,concept,quote + page from chapter III,03_chapitre_III.html,MEDIUM_PRIORITY,Currently intro-anchored but should be chapter III.
Monétisation,concept,quote + page showing chapter II centrality,02_chapitre_II.html,MEDIUM_PRIORITY,Needed to stabilize monétisation view.
Passerelle / Gateway,concept,quote + page showing on/off ramp role,02_chapitre_II.html,MEDIUM_PRIORITY,Needed for monetization column.
