event_id;intitule;systeme;date;statut_ligne_v3_2;granularite_D7;acteur_principal_mode;acteur_principal_id;acteur_principal_nom;effet_prop_monetaires_Q7;confidence_effet;source_enonce;note_epreuve
E015;Bogue Value Overflow (CVE-2010-5139 - crise n 4);bitcoin;2010-08-15;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;integrite_monnayage(-);haute;ch.III l.221 + l.237;A3 testée : « enregistrement à émission surnuméraire » codé sans forçage par la dimension nouvelle — la remise en ordre reste aux rôles (correcteur, validateur)
E029;Flash crash MtGox (32 vers 0.01 dollar);bitcoin;2011-07;validee;acte_ponctuel;entite_affectee;6661cad88f9145a6ad28d6c30840ef00;MtGox;conf_methodique(-) valorisation(-);haute;ch.I l.271;A2 appliquée : incident subi sans initiateur pertinent → entité affectée, plus d'a_arbitrer · fiche « Mt. Gox » typée InfrastructureEvent au graphe, à examiner hors lot
E044;BIP16 (P2SH) implementee - multi-signatures;bitcoin;2013-04;validee;acte_ponctuel;initiateur;7b29b0d2d8404396bbaa5742e07d8f21;Core Developers (Bitcoin);conf_methodique(+) usage_paiement(+);moyenne;ch.I l.277 + n.80 l.619;multi-effets contrôlés (A4) : sécurité énoncée + intégration aux paiements énoncée
E052;Tether (USDT) - premier stablecoin dollar via Omni;altcoin;2014-10-06;validee;acte_ponctuel;initiateur;a3d5db5e8de7bdb604321ffb6990a1cb;Tether Ltd;liquidite_convertibilite(+) valorisation(+) unite_compte_etalon(±);haute;ch.I l.373 + l.289 + n.87 l.633;cas le plus riche du lot : trois effets énoncés, tous du vocabulaire fermé (A4)
E055;Faillite de MtGox;bitcoin;2014-02;chantier;crise_agregee;entite_affectee;6661cad88f9145a6ad28d6c30840ef00;MtGox;nd;haute;ch.I l.313 + fig. n6 V2.8 (F037);nd maintenu : aucun effet sur propriété monétaire énoncé aux sources citées — l'entité affectée est une organisation, exprimable sans systeme_protocole
E062;Lancement d'Ethereum Frontier (mainnet);ethereum;2015-07-30;chantier;acte_ponctuel;initiateur;c5f0d6a944544c3c93bdd731dbc83096;Core Developers (Ethereum);liquidite_convertibilite(+);basse;ch.I l.399;inchangé : les lignes d'évolution énoncent des actes plus que des effets — lecture liquidité défendable, confidence basse
E063;Mise en ligne de The DAO - crowdsale de 28 jours;ethereum;2016-04-30;chantier;acte_ponctuel;initiateur;ae97de14e40e48d1965902c9dce6473a;Slock It;nd;haute;ch.III l.549 + l.535-543;nd maintenu · entité The DAO (SmartContract ed7b68ee) disponible au graphe si re-granularisation en crise agrégée un jour
E064;Appel a moratoire sur The DAO (papier d'alerte);ethereum;2016-05;validee;acte_ponctuel;initiateur;;auteurs du papier d'alerte;nd;haute;ch.III l.553-557;pas d'entité graphe unique pour les auteurs de l'alerte : nom seul — cas prévu par A1 (acteur_principal_nom si nécessaire)
E065;Attaque de The DAO (drainage des fonds);ethereum;2016-06-17;validee;acte_ponctuel;initiateur;;attaquant anonyme;valorisation(-);haute;ch.III l.561 + l.565;initiateur clair mais anonyme : aucune entité acteur au graphe (seule la source « An Open Letter » 2dc9c458 existe) — nom seul, rôles inchangés
E077;CVE-2018-17144 - divulgation responsable et correctif secret;bitcoin;2018-09;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;conf_methodique(±) integrite_monnayage(±);moyenne;ch.III l.11 + l.39 + l.125 + l.476;A3 testée sur une mise en cause NON activée (l.39) : ± retenu avec note — la direction d'une atteinte potentielle évitée est la convention résiduelle r2
F069;Modification protocolaire d'Ethereum afin de solutionner l'attaque de The DAO - conflit et scission;ethereum;2016-07-20;chantier;acte_ponctuel;initiateur;c5f0d6a944544c3c93bdd731dbc83096;cellule dev Ethereum (Core Developers Ethereum);conf_ethique(±) conf_methodique(+);moyenne;fig. n6 V2.8 + ch.III l.727 + l.715-717 + l.731-747;frontière A5 appliquée : immutabilité/restitution/sécession → conf_ethique(±) · signalement majoritaire, Carbon Vote et activation « comme programmé » → conf_methodique(+) — le cas-test porte les deux dimensions sans écrasement
G005;Crise BIP-0016 (Attaque P2SH);bitcoin;;chantier;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;nd;basse;wiki des crises (ch.III l.181-249) via graphe v97;ligne pauvre en énoncés : mode et entité désormais posés (A1), effets nd, exploiteur toujours incertain
G069;First Bitcoin halving;bitcoin;2012-11-28;douteuse;seuil;nd;;;integrite_monnayage(+);moyenne;description sourcée du graphe (gid 45cd642a);A3 testée : la dimension propre remplace la lecture conf_methodique du premier passage (« calendrier d'émission prévu » confirmé) · mode nd pour nature=seuil (grille v1 Q3) — convention résiduelle r1
G143;Lancement Peercoin (PoS) par Sunny King / Scott Nadal (2012);altcoin;2012-08-19;chantier;acte_ponctuel;initiateur;e4eba4cea732415c88af8ec03175c33f;Sunny King et Scott Nadal;nd;haute;description sourcée du graphe (gid af85b262);entité Person au graphe (alias « King Sunny / Scott Nadal ») — nd maintenu, la description énonce le mécanisme et non un effet
