event_id;intitule;systeme;date;statut_ligne_v3_2;granularite_D7;acteur_principal_D7;acteur_principal_v3_1;effet_prop_monetaires_Q7;confidence_effet;source_enonce;note_epreuve
E015;Bogue Value Overflow (CVE-2010-5139 - crise n 4);bitcoin;2010-08-15;validee;crise_agregee;protocole Bitcoin [hors typologie v1 — arbitrage A1];core_devs;nd;haute;ch.III l.221 + l.237;l'effet énoncé est une émission surnuméraire (« enregistrement à émission surnuméraire ») : aucune dimension Q7 ne la code — trou de vocabulaire, arbitrage A3
E029;Flash crash MtGox (32 vers 0.01 dollar);bitcoin;2011-07;validee;acte_ponctuel;a_arbitrer [incident subi, initiateur non énoncé — arbitrage A2];entrepreneurs_exchanges;conf_methodique(-) valorisation(-);haute;ch.I l.271;« problèmes de sécurité » → « flash crack » 32$ → 0,01$ : les deux effets sont énoncés — premier cas multi-effets (convention A4)
E044;BIP16 (P2SH) implementee - multi-signatures;bitcoin;2013-04;validee;acte_ponctuel;core_devs (initiateur);core_devs;conf_methodique(+) usage_paiement(+);moyenne;ch.I l.277 + n.80 l.619;sécurité et intégration aux paiements énoncées (« sécurité, simplicité, usabilité », « s'intégrer plus solidement à l'infrastructure monétaire et financière »)
E052;Tether (USDT) - premier stablecoin dollar via Omni;altcoin;2014-10-06;validee;acte_ponctuel;entrepreneurs_exchanges (initiateur : Tether Ltd);entrepreneurs_exchanges;liquidite_convertibilite(+) valorisation(+) unite_compte_etalon(±);haute;ch.I l.373 + l.289 + n.87 l.633;trois effets énoncés : développement des bourses, valeur des CM échangées, « conteste à Bitcoin son statut d'UCN pivot » + dollarisation (Koning) — cas le plus riche du lot
E055;Faillite de MtGox;bitcoin;2014-02;chantier;crise_agregee;entrepreneurs_exchanges (entité affectée : MtGox — exprimable en typologie);entrepreneurs_exchanges;nd;haute;ch.I l.313 + fig. n6 V2.8 (F037);aucun effet sur propriété monétaire énoncé aux sources citées (le vol et les Coiners « sans le sou » sont des rôles, pas des effets Q7) — nd assumé
E062;Lancement d'Ethereum Frontier (mainnet);ethereum;2015-07-30;chantier;acte_ponctuel;core_devs (initiateur);core_devs;liquidite_convertibilite(+);basse;ch.I l.399;« 60 000 000 d'ETH de la prévente sont libérés » : lecture liquidité défendable mais non littérale — les lignes d'évolution énoncent des actes plus que des effets
E063;Mise en ligne de The DAO - crowdsale de 28 jours;ethereum;2016-04-30;chantier;acte_ponctuel;entrepreneurs_exchanges (initiateur : Slock It);entrepreneurs_exchanges;nd;haute;ch.III l.549 + l.535-543;« moins par confiance que par foi » qualifie les porteurs du DAO Token, pas une propriété monétaire de l'ETH — nd assumé
E064;Appel a moratoire sur The DAO (papier d'alerte);ethereum;2016-05;validee;acte_ponctuel;medias_connaissance (initiateur : auteurs de l'alerte);medias_connaissance;nd;haute;ch.III l.553-557;les failles révélées concernent le contrat The DAO : aucun effet énoncé sur les propriétés monétaires de l'ETH — nd assumé
E065;Attaque de The DAO (drainage des fonds);ethereum;2016-06-17;validee;acte_ponctuel;nd [initiateur = attaquant anonyme, hors typologie — D7 exception granularité];nd;valorisation(-);haute;ch.III l.561 + l.565;« krach du cours DAO Token et surtout celui de l'Ether » : effet énoncé littéralement — LE cas où attaquant/résolveur serait trompeur : cinq fonctions distinctes réparties sur E063-F069
E077;CVE-2018-17144 - divulgation responsable et correctif secret;bitcoin;2018-09;validee;crise_agregee;protocole Bitcoin [hors typologie v1 — arbitrage A1];core_devs;conf_methodique(±);moyenne;ch.III l.11 + l.39 + l.125 + l.476;la crise « met à l'épreuve » les prétentions de monnaie incorruptible puis se résout en huis clos : direction ambivalente (±) · la vulnérabilité touche « aux sacro-saintes règles de monnayage » → trou A3 aussi
F069;Modification protocolaire d'Ethereum afin de solutionner l'attaque de The DAO - conflit et scission;ethereum;2016-07-20;chantier;acte_ponctuel;core_devs (initiateur : cellule dev Ethereum);;conf_ethique(±);moyenne;fig. n6 V2.8 + ch.III l.727 + l.731-747;le fork mobilise la confiance éthique (les valeurs priment le code) et la fracture (sécession ETC) : le ± est nécessaire · frontière conf_ethique/conf_methodique à documenter au gel
G005;Crise BIP-0016 (Attaque P2SH);bitcoin;;chantier;crise_agregee;protocole Bitcoin [hors typologie v1 — arbitrage A1];nd;nd;basse;wiki des crises (ch.III l.181-249) via graphe v97;exploitation « théorique, coûteuse » : rôle exploiteur posé incertain — ligne sans date, codée pour tester une ligne pauvre en énoncés
G069;First Bitcoin halving;bitcoin;2012-11-28;douteuse;seuil;nd [seuil programmé : la règle D7 ne s'applique pas — grille v1 Q3];;conf_methodique(+);moyenne;description sourcée du graphe (gid 45cd642a);« confirmant le calendrier d'émission prévu » → lecture confiance méthodique · l'objet propre (émission/rareté) relève du trou A3 · doublon A_VERIFIER avec G061 (2012-11) : l'épreuve code la ligne datée au jour
G143;Lancement Peercoin (PoS) par Sunny King / Scott Nadal (2012);altcoin;2012-08-19;chantier;acte_ponctuel;core_devs (initiateur : S. King et S. Nadal — devs trans-protocole);;nd;haute;description sourcée du graphe (gid af85b262);la description énonce le mécanisme (premier PoS), aucun effet sur propriété monétaire — nd assumé
