seed_id,title,page_thesis,section_key,section_name,quote_text,suggested_links
sq_gap_intro_A1_01,Quote — émergence ex nihilo d’une nouvelle forme d’argent,18,intro_A_1,A.1. Un intérêt pour la monnaie et les « Objets Monétaires Non Identifiés »,"Ces dernières offraient la chance inouïe d’étudier un phénomène rare dans le champ de la monnaie : l’émergence ex nihilo d’« une nouvelle forme d’argent » (Kavanagh et Miscione 2017, p. 10) qui, malgré des fondations non étatiques, connaissait des développements inégalés.",Monnaie | Objets monétaires non identifiés | Bitcoin | Cryptomonnaie
sq_gap_intro_A2_01,Quote — des faits têtus contredisent le dédain pour Bitcoin,20,intro_A_2,A.2. La controverse sur le caractère monétaire des cryptomonnaies,"Ces discours étaient cependant contredits par des faits têtus. En une décennie, Bitcoin a maintenu un taux de disponibilité de plus de 99,987 %, avec une valeur d’encours transférée, un nombre de transactions et d’utilisateurs en croissance constante.",Bitcoin | Controverse sur le statut monétaire | Disponibilité | Transactions
sq_gap_intro_A3_01,Quote — les CM relèvent d’une gouvernance duale,23,intro_A_3,A.3. Révéler l'« indicible » gouvernance des CM contre les prétentions libérales technicistes,"Il faut donc penser que les CM relèvent d’une gouvernance duale. D’abord, il y a la gouvernance par l’infrastructure qui encadre les interactions et résout les conflits sur l’historique des transactions via l’algorithme de consensus. Cependant, cette gouvernance mène à une autre, plus sociale et politique, la gouvernance sur l’infrastructure.",Gouvernance duale | Gouvernance sur l’infrastructure | Gouvernance par l’infrastructure | Algorithme de consensus
sq_gap_intro_B1_01,Quote — l’approche classique est insatisfaisante,27,intro_B_1,B.1. L'institutionnalisme monétaire pour caractériser les CM comme monnaies,"Finalement, l’approche classique est insatisfaisante. La monnaie est-elle objet d’un choix individuel marchand ? Simplifie-t-elle des échanges qui auraient lieu sans elle ? Ou renvoie-t-elle au contraire à un cadre socio-politique, que l’individualisme méthodologique ne peut saisir, un préalable au marché que ce dernier n’est pas en mesure seul de fixer ?",Institutionnalisme monétaire | Théorie monétaire dominante | Individualisme méthodologique | Monnaie
sq_gap_intro_B1_01,Quote — l’approche classique est insatisfaisante,27,intro_B_1a,B.1.a. Notre insatisfaction vis-à-vis de la théorie monétaire dominante,"Finalement, l’approche classique est insatisfaisante. La monnaie est-elle objet d’un choix individuel marchand ? Simplifie-t-elle des échanges qui auraient lieu sans elle ? Ou renvoie-t-elle au contraire à un cadre socio-politique, que l’individualisme méthodologique ne peut saisir, un préalable au marché que ce dernier n’est pas en mesure seul de fixer ?",Institutionnalisme monétaire | Théorie monétaire dominante | Individualisme méthodologique | Monnaie
sq_gap_intro_B1_02,Quote — la gouvernance comme configuration située de règles et de droits,28,intro_B_1,B.1. L'institutionnalisme monétaire pour caractériser les CM comme monnaies,"La gouvernance y est conçue sans présupposer des formes et fonctions qu’elle devrait revêtir, puisqu’elle renvoie à une configuration toujours située de règles, d’interactions et de faisceaux de droits.",Gouvernance | Elinor Ostrom | Institutionnalisme monétaire | Polycentric governance
sq_gap_intro_B1_02,Quote — la gouvernance comme configuration située de règles et de droits,28,intro_B_1b,B.1.b. Analyser le phénomène monétaire sans l'amputer : un institutionnalisme premier,"La gouvernance y est conçue sans présupposer des formes et fonctions qu’elle devrait revêtir, puisqu’elle renvoie à une configuration toujours située de règles, d’interactions et de faisceaux de droits.",Gouvernance | Elinor Ostrom | Institutionnalisme monétaire | Polycentric governance
sq_gap_intro_B2_01,Quote — pas de monnaie sans usages,30,intro_B_2,B.2. Gouvernance des CM : perspectives sociologiques,"Pas de monnaie sans usages. Toute analyse monétaire doit partir des usages, de leur contexte matériel et de leurs significations indigènes, car il est impossible de dissocier ce que font les acteurs de leurs intentions et de leur identité.",Usages monétaires | Anthropologie de la monnaie | Sociologie économique | Monétisation
sq_gap_intro_B2_01,Quote — pas de monnaie sans usages,30,intro_B_2a,"B.2.a. Anthropologie, ethnographie et sociologie de la monnaie : l'empirie des usages","Pas de monnaie sans usages. Toute analyse monétaire doit partir des usages, de leur contexte matériel et de leurs significations indigènes, car il est impossible de dissocier ce que font les acteurs de leurs intentions et de leur identité.",Usages monétaires | Anthropologie de la monnaie | Sociologie économique | Monétisation
sq_gap_intro_B2_02,Quote — la technique comme tissu sans couture,30,intro_B_2,B.2. Gouvernance des CM : perspectives sociologiques,"Pour dépasser ce « technologisme », comme éviter les ornières de la vision opposée du « sociologisme », la technique est considérée comme « un tissu sans couture », un objet socio-technique.",Infrastructure sociotechnique | STS | Technologisme | Sociologisme
sq_gap_intro_B2_02,Quote — la technique comme tissu sans couture,30,intro_B_2b,"B.2.b. Au-delà des « boîtes noires » : les CM, des infrastructures « sans coutures »","Pour dépasser ce « technologisme », comme éviter les ornières de la vision opposée du « sociologisme », la technique est considérée comme « un tissu sans couture », un objet socio-technique.",Infrastructure sociotechnique | STS | Technologisme | Sociologisme
sq_gap_intro_B3_01,Quote — les crises dévoilent la monnaie et l’infrastructure,32,intro_B_3,B.3. La gouvernance de Bitcoin et d'Ethereum dévoilée par leurs crises,"Dans le champ monétaire, les crises sont souvent considérées comme des moments privilégiés d’étude où la monnaie se « dévoile », révélant ses dimensions historique, sociale et politique. Dans les STS aussi, la crise, ainsi que les controverses technologiques, ont une place de choix.",Crise | Monnaie | STS | Infrastructure
sq_gap_intro_B3_01,Quote — les crises dévoilent la monnaie et l’infrastructure,32,intro_B_3a,B.3.a. Les fonctions heuristiques et herméneutiques des « crises »,"Dans le champ monétaire, les crises sont souvent considérées comme des moments privilégiés d’étude où la monnaie se « dévoile », révélant ses dimensions historique, sociale et politique. Dans les STS aussi, la crise, ainsi que les controverses technologiques, ont une place de choix.",Crise | Monnaie | STS | Infrastructure
sq_gap_intro_B3_02,Quote — deux types de crises et deux formes de gouvernance,34,intro_B_3,B.3. La gouvernance de Bitcoin et d'Ethereum dévoilée par leurs crises,Nous avons choisi d’analyser pour chacune d’elles un moment de « crise » particulier : le bogue CVE 2018 #17144 pour Bitcoin et la crise ouverte par l’attaque de « The DAO » pour Ethereum. Ces deux crises se révèleront aussi typiques de deux types de crises et de deux formes de gouvernance différenciées que cette thèse s’emploie à expliciter.,Bitcoin CVE 2018-17144 | The DAO | Crises de vulnérabilité | Crises d’évolution
sq_gap_intro_B3_02,Quote — deux types de crises et deux formes de gouvernance,34,intro_B_3b,B.3.b. Du périmètre de nos terrains : deux crises différenciées touchant Bitcoin et Ethereum,Nous avons choisi d’analyser pour chacune d’elles un moment de « crise » particulier : le bogue CVE 2018 #17144 pour Bitcoin et la crise ouverte par l’attaque de « The DAO » pour Ethereum. Ces deux crises se révèleront aussi typiques de deux types de crises et de deux formes de gouvernance différenciées que cette thèse s’emploie à expliciter.,Bitcoin CVE 2018-17144 | The DAO | Crises de vulnérabilité | Crises d’évolution
