zip;phase;operation_index;candidate_quote;normalized_quote;target_name;resolved_entity_id;entity_resolution_status;target_section;section_status;match_status;existing_sourcequote_id;duplicate_risk;evidence_location;evidence_excerpt_short;recommendation;needs_mael_arbitration;notes
Migration/sourcequote_effective_patch_phase1.zip;1;0;Ces dernières offraient la chance inouïe d'étudier un phénomène rare dans le champ de la monnaie : l'émergence ex nihilo d'" une nouvelle forme d'argent " (Kav…;ces dernières offraient la chance inouïe d'étudier un phénomène rare dans le champ de la monnaie : l'émergence ex nihil…;Monnaie | Objets monétaires non identifiés | Bitcoin | Cryptomonnaie;e94facdafe5a431e83e96a6060c5c862 | - | d35d720e1fa24d9fbe665a90ac0abc73 | bed4df005c7ce36030703bd68cb521d1;unique | fuzzy-only | unique | unique;intro_A_1;exists;exact-match;;faible;PDF 4_Introduction_generale p.18;l'émergence ex nihilo d'" une nouvelle forme d'argent " (Kavanagh et Miscione 2017, p. 10);retenir;non;Verbatim p.18 (page annoncée exacte). Entité " Objets monétaires non identifiés " ne résout que vers la section A.1 elle-même (fuzzy).
Migration/sourcequote_effective_patch_phase1.zip;1;1;Ces discours étaient cependant contredits par des faits têtus. En une décennie, Bitcoin a maintenu un taux de disponibilité de plus de 99,987 %, avec une valeu…;ces discours étaient cependant contredits par des faits têtus. en une décennie, bitcoin a maintenu un taux de disponibi…;Bitcoin | Controverse sur le statut monétaire | Disponibilité | Transactions;d35d720e1fa24d9fbe665a90ac0abc73 | 758e9ca93d00591b0a077b2d4f0125eb | 7ee960755783430c9db0bb016e87b78b | -;unique | resolved-by-synonym | unique | fuzzy-only;intro_A_2;exists;minor-normalization;;faible;PDF 4_Introduction_generale p.20;Bitcoin a maintenu un taux de disponibilité* de plus de 99,987%14, avec une valeur;retenir;oui;Seule différence : appel de note 14 et astérisque de glossaire. Entité " Controverse sur le statut monétaire " RESOLUE PAR SYNONYME vers 758e9ca9 " Controverse statut monétaire des cryptomonnaies " (Concept v110, qui porte déjà la Quote a1ee97b5) : aucune création à prévoir. Arbitrage maintenu : adopter la résolution par synonyme/traduction (plutôt que d'omettre le quote supports) est un choix à confirmer, cf. Q6.
Migration/sourcequote_effective_patch_phase1.zip;1;2;Il faut donc penser que les CM relèvent d'une gouvernance duale. D'abord, il y a la gouvernance par l'infrastructure qui encadre les interactions et résout les…;il faut donc penser que les cm relèvent d'une gouvernance duale. d'abord, il y a la gouvernance par l'infrastructure qu…;Gouvernance duale | Gouvernance sur l'infrastructure | Gouvernance par l'infrastructure | Algorithme de consensus;a432cc76f9ea4e949e374476082b89ab | e22205f327564c608c4710150bbac16b | ac80b824dedc47419211e4393dfcd681 | 7f4f018391584e708ee2a97f76d35c2b;unique | unique | unique | unique;intro_A_3;exists;minor-normalization;;faible;PDF 4_Introduction_generale p.23;il faut donc penser que les CM relèvent d'une gouvernance duale 19 (De Filippi et Loveluck, 2016...);retenir;oui;Coupes non signalées : note 19, citations, et le membre " comme avec le "consensus de Nakamoto" pour Bitcoin (cf. Chap. I) ". Arbitrage : coupes non signalées, politique à trancher en Q7.
Migration/sourcequote_effective_patch_phase1.zip;1;3;Finalement, l'approche classique est insatisfaisante. La monnaie est-elle objet d'un choix individuel marchand ? Simplifie-t-elle des échanges qui auraient lie…;finalement, l'approche classique est insatisfaisante. la monnaie est-elle objet d'un choix individuel marchand ? simpli…;Institutionnalisme monétaire | Théorie monétaire dominante | Individualisme méthodologique | Monnaie;- | - | - | e94facdafe5a431e83e96a6060c5c862;fuzzy-only | fuzzy-only | not-found | unique;intro_B_1 | intro_B_1a;exists | exists;exact-match;;faible;PDF 4_Introduction_generale p.27;Finalement, l'approche classique est insatisfaisante. La monnaie est-elle objet d'un choix individu…;retenir;oui;Verbatim p.27. Arbitrage : entité " Individualisme méthodologique " introuvable.
Migration/sourcequote_effective_patch_phase1.zip;1;4;La gouvernance y est conçue sans présupposer des formes et fonctions qu'elle devrait revêtir, puisqu'elle renvoie à une configuration toujours située de règles…;la gouvernance y est conçue sans présupposer des formes et fonctions qu'elle devrait revêtir, puisqu'elle renvoie à une…;Gouvernance | Elinor Ostrom | Institutionnalisme monétaire | Polycentric governance;- | 2b513be78d20467482f2017848d5ce80 | - | a444085b9b2d4ea1aa734f7e25db6a6c;fuzzy-only | unique | fuzzy-only | resolved-by-synonym;intro_B_1 | intro_B_1b;exists | exists;exact-match;;faible;PDF 4_Introduction_generale p.28;La gouvernance y est conçue sans présupposer des formes et fonctions qu'elle devrait revêtir;retenir;oui;Verbatim p.28, situé AVANT le titre B.2 : bien dans B.1/B.1.b (vérifié). " Polycentric governance " RESOLUE PAR TRADUCTION vers a444085b " Gouvernance polycentrique " (CoreConcept v110) , voir aussi 4a056174 " Polycentricité comme dynamique d'arènes et de légitimités " (Argument). Aucune création requise. Arbitrage maintenu : adopter la résolution par synonyme/traduction (plutôt que d'omettre le quote supports) est un choix à confirmer, cf. Q6.
Migration/sourcequote_effective_patch_phase1.zip;1;5;Pas de monnaie sans usages. Toute analyse monétaire doit partir des usages, de leur contexte matériel et de leurs significations indigènes, car il est impossib…;pas de monnaie sans usages. toute analyse monétaire doit partir des usages, de leur contexte matériel et de leurs signi…;Usages monétaires | Anthropologie de la monnaie | Sociologie économique | Monétisation;- | - | - | -;fuzzy-only | fuzzy-only | not-found | fuzzy-only;intro_B_2 | intro_B_2a;exists | exists;exact-match;;faible;PDF 4_Introduction_generale p.30;Pas de monnaie sans usages. Toute analyse monétaire doit partir des usages;retenir;oui;Verbatim p.30. Arbitrage : entité " Sociologie économique " introuvable.
Migration/sourcequote_effective_patch_phase1.zip;1;6;Pour dépasser ce " technologisme ", comme éviter les ornières de la vision opposée du " sociologisme ", la technique est considérée comme " un tissu sans coutu…;pour dépasser ce " technologisme ", comme éviter les ornières de la vision opposée du " sociologisme ", la technique es…;Infrastructure sociotechnique | STS | Technologisme | Sociologisme;e1a7b06839404dbdacba7f00782a5450 | - | a25fc6eb5f3549a69f4ce17d6969ee01 | 9be50de248b1465cbf2e7ac9a2a5e1ac;unique | fuzzy-only | unique | unique;intro_B_2 | intro_B_2b;exists | exists;minor-normalization;;faible;PDF 4_Introduction_generale p.30;éviter les ornières de la vision opposée du " sociologisme "37, la technique est considérée;retenir;non;Seule différence : appel de note 37.
Migration/sourcequote_effective_patch_phase1.zip;1;7;Dans le champ monétaire, les crises sont souvent considérées comme des moments privilégiés d'étude où la monnaie se " dévoile ", révélant ses dimensions histor…;dans le champ monétaire, les crises sont souvent considérées comme des moments privilégiés d'étude où la monnaie se " d…;Crise | Monnaie | STS | Infrastructure;- | e94facdafe5a431e83e96a6060c5c862 | - | 6baa805952d145bc9c4b1b14eede3c33;fuzzy-only | unique | fuzzy-only | unique;intro_B_3 | intro_B_3a;exists | exists;minor-normalization;;faible;PDF 4_Introduction_generale p.32;où la monnaie se " dévoile ", révélant ses dimensions historique, sociale et politique (Théret, 200…;retenir;oui;Coupes non signalées : " (Théret, 2007) " et ~2 phrases entre les deux moitiés (les deux moitiés sont verbatim p.32). Arbitrage : coupes non signalées, politique à trancher en Q7.
Migration/sourcequote_effective_patch_phase1.zip;1;8;Nous avons choisi d'analyser pour chacune d'elles un moment de " crise " particulier : le bogue CVE 2018 #17144 pour Bitcoin et la crise ouverte par l'attaque…;nous avons choisi d'analyser pour chacune d'elles un moment de " crise " particulier : le bogue cve 2018 #17144 pour bi…;Bitcoin CVE 2018-17144 | The DAO | Crises de vulnérabilité | Crises d'évolution;db9a125c4c7a4d03bd19d3dc8c474a9e | ed7b68eeb3114b32a7ab0baabd62cc5a | - | -;unique | unique | fuzzy-only | fuzzy-only;intro_B_3 | intro_B_3b;exists | exists;duplicate-existing;a5278302a3b54db891aa5d8b546b0459;eleve;PDF 4_Introduction_generale p.33;nous avons choisi d'analyser pour chacune d'elles un moment de " crise " particulier : le bogue CVE…;completer-l-existante;oui;Trouvée p.33 (annoncée 34) dans B.3.b (titre p.33) : section OK. L'existante a5278302 (page 34) = fragment strict du candidat , candidat plus long, coupes " Pour restreindre encore notre terrain, " et " (cf. Chap III) " non signalées. Doublon partiel : compléter ou remplacer ?
Migration/sourcequote_effective_patch_phase1.zip;1;9;Le premier enjeu tient à la définition de l'objet CM comme infrastructure au sens de Star (1999). Son périmètre large renvoie à une pluralité d'usages et à des…;le premier enjeu tient à la définition de l'objet cm comme infrastructure au sens de star (1999). son périmètre large r…;Infrastructure | Méthodologie | Susan Leigh Star | Travail invisible;6baa805952d145bc9c4b1b14eede3c33 | - | - | -;unique | fuzzy-only | fuzzy-only | not-found;intro_C_1 | intro_C_1a;exists | exists;exact-match;;faible;PDF 4_Introduction_generale p.34;Le premier enjeu tient à la définition de l'objet CM comme infrastructure au sens de Star (1999);retenir;oui;Verbatim p.34. Arbitrage : entité " Travail invisible " introuvable.
Migration/sourcequote_effective_patch_phase1.zip;1;10;L'enquête ethnographique mène le chercheur, au même titre que les enquêtés, à s'impliquer activement. Cette implication mutuelle détermine en partie la forme e…;l'enquête ethnographique mène le chercheur, au même titre que les enquêtés, à s'impliquer activement. cette implication…;Ethnographie | Relation enquêteur-enquêtés | Méthodologie;f788033ee36c478d8fbe59d5e3825d95 | - | -;unique | fuzzy-only | fuzzy-only;intro_C_1 | intro_C_1b;exists | exists;exact-match;;faible;PDF 4_Introduction_generale p.36;L'enquête ethnographique mène le chercheur, au même titre que les enquêtés, à s'impliquer activement;retenir;non;Verbatim p.36.
Migration/sourcequote_effective_patch_phase1.zip;1;11;Les recherches exploratoires ont d'abord été menées grâce à une recherche documentaire mobilisant des sources et matériaux hétérogènes : différents types de li…;les recherches exploratoires ont d'abord été menées grâce à une recherche documentaire mobilisant des sources et matéri…;Recherche documentaire | Littérature grise | Littérature indigène | Méthodologie;- | - | - | -;fuzzy-only | fuzzy-only | not-found | fuzzy-only;intro_C_2 | intro_C_2a | intro_C_2b;exists | exists | exists;exact-match;;faible;PDF 4_Introduction_generale p.43;menées grâce à une recherche documentaire mobilisant des sources et matériaux hétérogènes;retenir;oui;Verbatim p.43. Arbitrage : entité " Littérature indigène " introuvable. Triple cible sectionnelle (C.2 + a + b) : rattachement multiple interprétatif mais sections existantes.
Migration/sourcequote_effective_patch_phase1.zip;1;12;Le point d'entrée de nos expériences immersives fut l'acquisition et l'utilisation de nos premières UCN BTC. Étant donné que nous étions encore réticent à ache…;le point d'entrée de nos expériences immersives fut l'acquisition et l'utilisation de nos premières ucn btc. étant donn…;Immersion participante | UCN BTC | Faucet | Bourse d'échange;- | c74c47caffc64382b31bc5eb221b7db7 | - | -;fuzzy-only | unique | fuzzy-only | fuzzy-only;intro_C_2 | intro_C_2c;exists | exists;minor-normalization;;faible;PDF 4_Introduction_generale p.44;Le point d'entrée de nos expériences immersives (une liste non exhaustive... annexe n°IV.1) fut l'a…;retenir;oui;Coupe non signalée : la parenthèse " (une liste non exhaustive de nos immersions participantes se trouve en annexe n°IV.1) ". Arbitrage : coupe non signalée, politique à trancher en Q7.
