scope,view,target,rule_type,current_issue,proposed_rule,priority,status,rationale
global,all,node rendering,label_policy,too many unlabeled dots or unreadable label carpets,always label key nodes; smart truncation for others; full label on tap/click,high,IMPLEMENT,"Nodes must give at least a partial sense of what they are, especially in explode mode."
global,all,color system,color_policy,loss of readability when chapter and column distinctions collapse,chapter = main hue family; column = modulation/variant within chapter hue,high,IMPLEMENT,Need to preserve thesis anchoring and view family simultaneously.
global,all,mobile UI,focus_panel,filter UI risks eating screen space on mobile,collapsed Focus button + compact drawer/bottom sheet + chip summary,high,IMPLEMENT,Graph must remain central on mobile.
global,all,explode layout,layout_strategy,circular cluster becomes unreadable in dense selections,switch from simple radial explode to structured local clustered/pseudogrid layout at density threshold,high,IMPLEMENT,"Need readable, contained constellations instead of circular blobs."
global,all,dense crisis selections,aggregation,long CVE lists flood the focus,aggregate into light clusters such as 'CVE techniques (n)' and 'Phases de crise (n)' with optional second-level explode,high,IMPLEMENT,Preserves mobile readability and analytic clarity.
global,all,context propagation,filtering,secondary relational neighbors invade focused selection,strict selection by view/band/column/row first; only faint secondary context allowed,high,IMPLEMENT,Primary textual anchoring must override relational propagation.
view,Structure de la thèse,columns,column_set,new matrices can become too rigid or too compressed,use columns: Chap. | Struct. | Objets | Gouvern. | Crises | Acteurs | Concepts | Réf./Sources,high,IMPLEMENT,This is the clearest hybrid of narrative structure and ontological precision.
view,Structure de la thèse,column_widths,width_budget,equalized widths make the view look blocky and unbalanced,Chap.=0.6x; Struct.=0.8x; Objets=1.0x; Gouvern.=0.95x; Crises=0.9x; Acteurs=1.15x; Concepts=1.15x; Réf./Sources=1.2x,high,IMPLEMENT,Visual weights should reflect information load and keep the old breathing quality.
view,Structure de la thèse,row_density,density_budget,some chapter bands become brick-like while others remain thin,cap visible node density per cell; push surplus to faint background or secondary cloud,high,IMPLEMENT,Avoid solid walls of nodes.
view,Structure de la thèse,Acteurs column,internal_order,actor families read as a flat block,order internally: StakeholderCategory -> Institution/Organization -> StakeholderGroup -> Person,high,IMPLEMENT,Makes actor ontology readable at a glance.
view,Structure de la thèse,Concepts column,internal_order,core concepts drown in technical concepts,order internally: CoreConcept -> SecondaryConcept/TheoreticFramework -> TechnicalConcept -> NativeFormula,high,IMPLEMENT,Restores analytic hierarchy.
view,Structure de la thèse,Réf./Sources column,internal_order,references and quotes form a murky terminal wall,order internally: AcademicWork/Corpus -> PrimarySource -> Reference -> SourceQuote -> theoretical authors,medium,IMPLEMENT,Keeps the terminal reference zone legible.
view,Structure de la thèse,Crises column,spacing,crisis nodes become too dense and bleed into neighboring columns,airier spacing and lower default opacity for secondary crisis details,high,IMPLEMENT,Crises should remain readable and distinct from Gouvern.
view,Structure de la thèse,Multi. band,transversal_handling,transversal concepts get swallowed by Intro or duplicate visually everywhere,keep Multi. as soft band for transversal items; main position still driven by primaryChapter,medium,IMPLEMENT,Prevents intro overload and preserves reuse without reanchoring.
view,Monétisation des CM,columns,column_set,too few columns made the process hard to read,use columns: Noyau | Émission | Circulation | Accès | Usages | Valorisation | Stabilisation,high,IMPLEMENT,Best processual reading of monetization.
view,Monétisation des CM,rows,row_set,unclear stratification of entities in process view,use rows: Thèse | Dispositifs | Arènes | Acteurs | Cas | Réf.,high,IMPLEMENT,Combines analytic and empirical levels cleanly.
view,Monétisation des CM,column_labels,readability,overly abstract labels reduce first-glance understanding,keep short process labels and avoid hidden/rotated tiny text,high,IMPLEMENT,Mobile-first readability.
view,Monétisation des CM,Acteurs row,person_handling,acting persons can disappear into references,keep acting persons in Acteurs row; only theoretical authors go to Réf.,high,IMPLEMENT,Needed for governance/maintenance reading within monetization.
view,Monétisation des CM,Stabilisation column,subclustering,"stabilization mixes governance, crises, proposals and maintenance into a blob",subcluster internally by governance processes / crises / responses / persons / sources,high,IMPLEMENT,Most dense and analytically important process column.
view,Monétisation des CM,column_palette,color_policy,process sequence not instantly legible,Noyau=gold; Émission=amber; Circulation=cyan; Accès=turquoise; Usages=green; Valorisation=violet; Stabilisation=coral,medium,IMPLEMENT,Helps eye read process left-to-right while preserving overall style.
view,Qui gouverne réellement ?,columns,column_set,previous versions lacked Struct. and/or Gouvern.,use columns: Struct. | Gouvern. | Catégories | Organisations | Groupes | Arènes | Personnes | Cas / Réf.,high,IMPLEMENT,Best match to thesis and governance question.
view,Qui gouverne réellement ?,rows,row_set,"need to distinguish routine, decision, conflict and maintenance",use rows: Problématisation | Coordination | Décision | Conflit | Maintenance | Sources,high,IMPLEMENT,Tracks governance modes rather than just actor piles.
view,Qui gouverne réellement ?,Gouvern. vs Crises,semantic_separation,crisis detail invades governance reading,keep governance concepts/processes in Gouvern.; crises remain in Cas / Réf. or dedicated crisis focus,high,IMPLEMENT,Prevents CVE/DAO overload in governance focus.
view,Qui gouverne réellement ?,Personnes column,label_priority,acting persons disappear among actor clouds,"prioritize labels for acting persons when row is Décision, Conflit or Maintenance",medium,IMPLEMENT,Users need to see who actually governs.
view,Qui gouverne réellement ?,Arènes column,visual_emphasis,arena column is original but visually under-expressed,slightly brighter halo and clearer labels for arenas,medium,IMPLEMENT,Arenas are key to this thesis’ governance approach.
view,Qui gouverne réellement ?,Cas / Réf. column,internal_split,cases and references collapse together,"internal vertical split: upper area for cases/crises, lower area for references/sources",high,IMPLEMENT,Restores terminal clarity without adding another column.
interaction,all,Focus summary,chip_summary,active filter state can be unclear,always show compact summary chips like 'Chap. III · Gouvern. · Éclater' with close button,high,IMPLEMENT,Users must know what they are seeing.
interaction,all,Explode threshold,density_threshold,same explode strategy used for sparse and dense selections,use simple local radial explode below threshold; switch to clustered explode above threshold,high,IMPLEMENT,Adaptive strategy fits both sparse and dense cases.
interaction,all,Selected labels,label_density,selected nodes still unreadable in explode mode,raise label density only for selected set; keep background labels dim or hidden,high,IMPLEMENT,Avoid text carpet while making focus useful.
interaction,all,Bounding box,containment,explode clusters invade neighboring columns and bands,keep explode selection inside local bounded ellipse/box per selected cell or area,high,IMPLEMENT,Readable but contained expansion.
interaction,all,Secondary context,opacity,secondary context competes visually with focus selection,limit secondary context to opacity 0.12–0.20 with no labels by default,medium,IMPLEMENT,Context must remain context.
