artifact_path;current_label_or_policy;measured_status;ops_total;ops_readable;ops_applied;ops_missing_targets;source_graph_declared;current_graph;frozen_evidence_or_live_inventory;ci_candidate;risk_if_replayed;recommended_governance_status;note
new_relations_patch.json;(aucune);indetermine;11884;11884;6246;0;;grc20-these-mael-rolland-v113.json;live_inventory;non;etat MIXTE 6246/11884 : un rejeu ecrirait a cote;archive_partial;"lot partiellement absorbe ; les ops restantes visent des cibles mortes ou ont ete remplacees par une migration"
patch_10_dedup_events.json;Aucune suppression, aucune fusion destructive. Les doublons ;already_applied;9;9;9;0;grc20-these-mael-rolland-v97.json;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet;archive_historical;lot integre, conserve comme archive
patch_11_add_missing_chronology_events.json;Ajout seul. Aucune entite existante modifiee, aucune fusion,;indetermine;31;31;27;0;grc20-these-mael-rolland-v97.json;grc20-these-mael-rolland-v113.json;live_inventory;non;etat MIXTE 27/31 : un rejeu ecrirait a cote;archive_partial;"lot partiellement absorbe ; les ops restantes visent des cibles mortes ou ont ete remplacees par une migration"
patch_12_wire_maturation_phase.json;Ajout de relations seul. Aucune entite creee, modifiee ou su;already_applied;37;37;37;0;grc20-these-mael-rolland-v98.json;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet;archive_historical;lot integre, conserve comme archive
patch_13_section_migration.json;Ne modifie que section_key, name et labelEn. Aucune entite c;already_applied;22;22;22;0;grc20-these-mael-rolland-v99.json;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet;archive_historical;lot integre, conserve comme archive
patch_14_section_creation.json;Ajout d'entites et de leur place dans l'arborescence. Aucune;already_applied;21;15;15;0;grc20-these-mael-rolland-v99.json;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet;archive_historical;lot integre, conserve comme archive
patch_15_section_migration_corps.json;Ne modifie que section_key, name, labelFr et labelEn. Aucune;already_applied;46;46;46;0;grc20-these-mael-rolland-v105.json;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet;archive_historical;lot integre, conserve comme archive
patch_16_section_creation_corps.json;Ajout d'entites et de leur place dans l'arborescence. Aucune;already_applied;77;55;55;0;grc20-these-mael-rolland-v105.json;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet;archive_historical;lot integre, conserve comme archive
patch_17_wire_chapter_I_tree.json;Ne cree que des relations section of / has section, sur le m;already_applied;16;16;16;0;grc20-these-mael-rolland-v106.json;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet;archive_historical;lot integre, conserve comme archive
patch_18_bibliography_fixes.json;SET_NAME et SET_TYPES uniquement. Aucune relation touchee, a;already_applied;22;22;22;0;grc20-these-mael-rolland-v109.json;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet;archive_historical;lot integre, conserve comme archive
patch_19_attribute_normalisation.json;Patch applique en v110 par scripts/make_v110_apply_bib_and_a;already_applied;384;384;384;0;grc20-these-mael-rolland-v109.json;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet;archive_historical;lot integre, conserve comme archive
patch_1a_fix_cited_in.json;description=Fix 22 wrong-chapter cited_in links;already_applied;44;44;44;0;grc20-these-mael-rolland-v72.json;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet;archive_historical;lot integre, conserve comme archive
patch_1b_missing_cited_in.json;description=Add 213 missing multi-chapter cited_in l;indetermine;774;774;770;0;grc20-these-mael-rolland-v72.json;grc20-these-mael-rolland-v113.json;live_inventory;non;etat MIXTE 770/774 : un rejeu ecrirait a cote;archive_partial;"lot partiellement absorbe ; les ops restantes visent des cibles mortes ou ont ete remplacees par une migration"
patch_2a_sourcequote_subsections.json;description=Patch 2a: link SourceQuote entities to t;already_applied;207;207;207;0;v73;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet;archive_historical;lot integre, conserve comme archive
patch_2b_central_arguments.json;patch_id=2b;already_applied;56;49;49;7;;grc20-these-mael-rolland-v113.json;live_inventory;non;7 cible(s) morte(s) : un rejeu echouerait;archive_partial;toutes les 49 op(s) LISIBLES sont faites, mais 7 cible(s) n existent plus — « applique » sur-promet
patch_2c_definitions.json;(aucune);indetermine;293;274;248;19;;grc20-these-mael-rolland-v113.json;live_inventory;non;etat MIXTE 248/274 : un rejeu ecrirait a cote;archive_partial;"lot partiellement absorbe ; les ops restantes visent des cibles mortes ou ont ete remplacees par une migration"
patch_3a_intro_subsections.json;description=Patch 3a: add missing intro subsections ;already_applied;71;66;66;0;v82→v83;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet;archive_historical;lot integre, conserve comme archive
patch_4_intro_key_entities.json;description=Add appears_in_section relations for The;indetermine;111;111;105;0;;grc20-these-mael-rolland-v113.json;live_inventory;non;etat MIXTE 105/111 : un rejeu ecrirait a cote;archive_partial;"lot partiellement absorbe ; les ops restantes visent des cibles mortes ou ont ete remplacees par une migration"
patch_4a_chapter_attribution.json;(aucune);already_applied;99;99;99;0;;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet;archive_historical;lot integre, conserve comme archive
patch_5_missing_sections.json;description=Add appears_in_section for zero-section ;indetermine;147;147;141;0;;grc20-these-mael-rolland-v113.json;live_inventory;non;etat MIXTE 141/147 : un rejeu ecrirait a cote;archive_partial;"lot partiellement absorbe ; les ops restantes visent des cibles mortes ou ont ete remplacees par une migration"
patch_5a_corrective_anchoring.json;(aucune);already_applied;62;62;62;0;;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet;archive_historical;lot integre, conserve comme archive
patch_batch1_anchoring.json;(aucune);already_applied;21;21;21;0;;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet;archive_historical;lot integre, conserve comme archive
patch_batch2_anchoring.json;(aucune);already_applied;16;16;16;0;;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet;archive_historical;lot integre, conserve comme archive
patch_batch3_relations.json;(aucune);already_applied;51;51;51;0;;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet;archive_historical;lot integre, conserve comme archive
patch_candidate_bibliographie_duplicates_v1.json;CANDIDATE — NOT APPLIED;stale_source_graph_but_preconditions_intact;156;156;0;0;grc20-these-mael-rolland-v110.json;grc20-these-mael-rolland-v113.json;live_inventory;non;aucun rejeu : rien n est applique;blocked_author_arbitration;source declaree grc20-these-mael-rolland-v110.json perimee, mais les cibles portent encore leur valeur d origine — TECHNIQUEMENT applicable, PAS mur : a reauditer avant tout chantier d application (arbitrage Q7 du 2026-08-09)
patch_candidate_bibliographie_missing_nodes_v1.json;CANDIDATE — NOT APPLIED;blocked_by_missing_applicator;38;0;0;0;grc20-these-mael-rolland-v110.json;grc20-these-mael-rolland-v113.json;live_inventory;non;aucun applicateur ne consomme ces ops;blocked_missing_applicator;CREATE_ENTITY : le contrat interdit de pre-assigner un entityId, et aucun make_* ne lit ce type d op
patch_candidate_bibliographie_retypes_v1.json;CANDIDATE — NOT APPLIED;already_applied;10;10;10;0;grc20-these-mael-rolland-v110.json;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet, mais la policy ment;candidate_applied;applique par make_v113_apply_bibliography_retypes.py — la mention CANDIDATE est exigee par C03 et ne dit PLUS la verite
patch_candidate_chronology_dates_v1.json;CANDIDATE — NOT APPLIED;already_applied;2;2;2;0;grc20-these-mael-rolland-v111.json;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet, mais la policy ment;candidate_applied;applique par make_v112_apply_chronology_dates_patch.py — la mention CANDIDATE est exigee par C03 et ne dit PLUS la verite
patch_candidate_section_page_start_v1.json;CANDIDATE — NOT APPLIED;already_applied;16;16;16;0;grc20-these-mael-rolland-v110.json;grc20-these-mael-rolland-v113.json;live_inventory;non;rejeu sans effet, mais la policy ment;candidate_applied;applique par make_v111_apply_section_page_start_patch.py — la mention CANDIDATE est exigee par C03 et ne dit PLUS la verite
patches/archive/grc20_anchor_overrides_targeted.json;(aucune);still_candidate;10;10;0;0;;grc20-these-mael-rolland-v113.json;live_inventory;non;aucun rejeu : rien n est applique;blocked_author_arbitration;"0 op realisee sur 10 lisibles ; le patch est entier et ses cibles existent — TECHNIQUEMENT applicable, PAS mur : a reauditer avant tout chantier d application (arbitrage Q7 du 2026-08-09)"
patches/grc20_v97_remove_15_truncated_broken_relations.json;status=prepared_and_applied_to_v97;indetermine;0;0;0;0;grc20-these-mael-rolland-v96.json;grc20-these-mael-rolland-v113.json;live_inventory;non;forme non lisible par l outil : effet INCONNU, un rejeu naif peut ecrire des choses fausses;indetermine;statut NON etabli — a instruire a la main, jamais a rejouer par defaut
