paire_id;entity_id_fr;name_fr;type_fr;degre_fr;entity_id_en;name_en;type_en;degre_en;preuve_correspondance;conflit_de_types;annotation_existante;sections_communes;nature;arbitrage_requis;notes
P01;51170fe3b52443ff9cbe0e6082693e86;Banque centrale européenne (BCE);Institution;4;77214f36adca11f76592932111ae3eb9;European Central Bank;Institution;9;meme referent institutionnel (BCE) , description de 77214f36 nomme explicitement « Banque Centrale Europeenne (BCE) »;non;FR: aucune | EN: aucune;0 communes , 1 propres a FR , 7 propres a EN;doublon-fr-en-probable;Fusionner les deux fiches vers laquelle — 77214f36 (ancree sur 7 pages de these, 4 appears-in-section) ou 51170fe3 (relations typees governance / belongs-to-domain) — ou renommer l'une en alias de l'autre ?;Aucune section commune : 77214f36 est cablee sur intro/I.2.1/II.1.2/II.4, 51170fe3 sur II.3 seule. Les deux couvrent des passages reels et distincts : une fusion perdrait de l'ancrage si elle n'additionne pas les relations.
P02;92b63798d91b4c99bef87aea0e76f63c;Cadre IAD / SES (Ostrom);Concept;6;65e0280932914b8493008c7751fb7ba9;IAD Framework;TheoreticFramework;12;nameEn de 92b63798 = « IAD / SES Framework » , 65e02809 se nomme « IAD Framework » (recouvrement de tokens 2/3) , les deux decrivent le cadre d'Ostrom;oui;FR: aucune | EN: aucune;0 communes , 1 propres a FR , 1 propres a EN;conflit-de-types;S'agit-il du meme referent ? 92b63798 agrege IAD ET SES (extension socio-ecologique), 65e02809 ne nomme que l'IAD. Faut-il fusionner, scinder 92b63798 en deux, ou retyper l'un des deux (Concept vs TheoreticFramework) ?;REFUS DE CONCLURE sur l'identite : fusionner absorberait silencieusement le cadre SES dans l'IAD. Le texte de la these doit trancher si Rolland traite SES comme un cadre distinct.
P03;647cfd915fa09e9703fa8cbd1e60e819;Campagne de financement Ethereum (ICO 2014);InfrastructureEvent;32;d0f3f4e1a1796c486a136d142127c321;Ether Genesis Sale (ICO Ethereum 2014);InfrastructureEvent;34;meme evenement (la vente publique d'Ether de 2014) , les deux descriptions citent le meme chiffre de 31 725 BTC , ensembles de sections strictement identiques (30 cles) et memes signatures relationnelles;non;FR: aucune | EN: aucune;30 communes , 0 propres a FR , 0 propres a EN;doublon-fr-en-probable;Fusionner vers le libelle francais (647cfd91) ou vers le libelle indigene anglais (d0f3f4e1, « Ether Genesis Sale ») ? Ou conserver l'un comme alias ?;Preuve la plus forte du releve : 30 sections communes sur 30, degres voisins (32 / 34). Les deux fiches ont ete produites par le meme generateur quote+cited_in et n'ont jamais ete rapprochees.
P04;197253674a064412ba65528117c61d3d;CBDC / Monnaie numerique de banque centrale;Concept;12;6390dcaf87ea9c439228bdd2cff8d1c3;Central Bank Digital Currency;Concept;4;la description de 19725367 s'ouvre sur « Central Bank Digital Currency : ... », qui est le nom exact de 6390dcaf , son propre nom porte l'acronyme CBDC;non;FR: aucune | EN: aucune;0 communes , 1 propres a FR , 2 propres a EN;doublon-fr-en-probable;Fusionner vers 19725367 (degre 12, relations typees) en versant 6390dcaf en alias anglais, ou l'inverse ?;6390dcaf est une fiche du lot genere par citation (sourcePages 18, quote+cited_in) , 19725367 est une fiche redigee. Aucune section commune.
P05;22efd2a399180ddf6b43f2e7d5481547;chaîne de blocs;ConceptTechnical;9;7483cc3501de49d1a0cf36516b7f2209;Blockchain / Chaine de bloc;Concept;4;meme objet technique (la structure de donnees en chaine de blocs) , le nom de 7483cc35 contient la forme francaise « Chaine de bloc » et la forme anglaise « Blockchain »;non;FR: aucune | EN: aucune;0 communes , 7 propres a FR , 1 propres a EN;indetermine;Sont-ce deux objets ou un seul ? 7483cc35 ne decrit pas la structure mais l'USAGE du mot « blockchain » comme synecdoque particularisante , 22efd2a3 decrit la structure. Faut-il fusionner, ou renommer 7483cc35 en « Synecdoque blockchain » pour rendre la distinction lisible ?;REFUS DE CONCLURE : une fusion effacerait l'analyse metalinguistique portee par 7483cc35, qui est un apport de la these et non un doublon de vocabulaire.
P06;409eb8134a5c48a49b1508a38e25d649;Décentrement infrastructurel de Bitcoin (escape velocity);Concept;25;e641bd05a189425983b5a4197425e585;Vitesse de liberation / escape velocity (Bitcoin);Concept;25;les deux fiches glosent le meme terme indigene anglais « escape velocity » , degres identiques (25 / 25) et ensembles de sections strictement identiques (19 cles);non;FR: aucune | EN: aucune;19 communes , 0 propres a FR , 0 propres a EN;doublon-fr-en-probable;Deux traductions francaises concurrentes du meme terme indigene coexistent (« vitesse de liberation » et « decentrement infrastructurel »). Laquelle la these emploie-t-elle ? Faut-il fusionner vers celle-la et verser l'autre en alias ?;Ce n'est pas un couple FR/EN mais un couple FR/FR de traductions rivales d'un meme terme anglais : meme dette d'identite, mecanisme different. Degres et sections identiques au trait pres.
P07;2f54deb5da1440c8bdd5ca16dbc8c647;Divulgation responsable;Concept;17;018cb3c562674948be30d910d68359c3;Responsible Disclosure;Concept;5;indigeneLabel de 2f54deb5 = « Responsible Disclosure », egal au name de 018cb3c5 apres normalisation , deja signale par entity-alias-table-v1.csv (collision_with, confidence=basse);non;FR: aucune | EN: aucune;1 communes , 7 propres a FR , 0 propres a EN;doublon-fr-en-probable;Fusionner vers 2f54deb5 (degre 17, 12 pages sources, 8 sections) en versant 018cb3c5 en alias anglais, ou conserver la fiche anglaise pour l'API publique ?;Une seule section commune (intro A). 018cb3c5 porte 4 relations typees (used in / results in / applied to) qu'une fusion devrait reporter, pas jeter.
P08;0c2708df5e644ac89252ab7a85ff4230;Entretiens;Method;63;c55b4bb54aa5817904f907248c78ce8a;C.2.f. Entretiens;ThesisSection;2;labelEn de c55b4bb5 = « Interviews » = nameEn de 0c2708df , collision de libelles anglais uniquement;oui;FR: aucune | EN: aucune;0 communes , 4 propres a FR , 1 propres a EN;voisinage-non-doublon;Aucun arbitrage d'identite requis. Faut-il en revanche desambiguiser les libelles anglais pour qu'un resolveur par nom ne confonde plus la methode et la sous-section (p. ex. « C.2.f. Interviews » pour la section) ?;REFUS DE CONCLURE A UN DOUBLON : 0c2708df est la methode d'enquete (degre 63), c55b4bb5 est la sous-section d'introduction qui la presente (p. 46). Referents distincts , seul le libelle anglais collisionne. Inclus ici parce qu'un resolveur interrogeant labelEn/nameEn les confond.
P09;a1d764bf362646b7822bf199bf9ca6c6;InfrastructureEvent — ASICs (spécialisation du minage);InfrastructureEvent;13;1dc7f42c96c142b2a30e7c36f5c6b290;ASIC mining introduction;InfrastructureEvent;3;attribut description quasi identique de part et d'autre (« Introduction des ASIC pour le minage Bitcoin en 2013, remplacant les GPU... ») , meme section d'ancrage I.2.2 , meme type;non;FR: aucune | EN: aucune;1 communes , 0 propres a FR , 0 propres a EN;doublon-fr-en-probable;Fusionner vers a1d764bf (degre 13, relations typees creates-centralization-pressure / introduces-capability) et supprimer 1dc7f42c, ou l'inverse ?;1dc7f42c n'apporte que la date '2013' en attribut. Meme famille que le cas Mining pools : un lot d'import anglophone double un lot francophone deja cable.
P10;15864ab2cdcd41348eecc0daba8eb11d;InfrastructureEvent — Mining pools (coopératives de minage);InfrastructureEvent;4;7f80094676fd44a785c6483dbee4f8c5;Mining pools emergence;InfrastructureEvent;3;les deux portent le meme attribut description (« Cooperatives de mineurs mutualisant leur puissance de calcul... ») , 7f800946 porte deja duplicateOf pointant sur 15864ab2 , meme section I.2.2;non;FR: aucune | EN: duplicateOf=15864ab2cdcd41348eecc0daba8eb11d / reviewStatus=duplicate-pending-merge;1 communes , 0 propres a FR , 0 propres a EN;doublon-fr-en-probable;Le duplicateOf pose par patch_10 designe 15864ab2 comme survivant : confirmez-vous cette direction, et la fusion peut-elle etre executee, sachant qu'elle ne regle pas le cas 5f7f718b / ee727747 (voir P20) ?;Seul couple du releve deja annote dans le graphe. 7f800946 apporte l'attribut date '2011-01' que 15864ab2 n'a pas : la fusion doit le reporter.
P11;ef24c1fb7a7040b49a2c1e0194355cf1;InfrastructureEvent — Premier minage GPU;InfrastructureEvent;6;5dfe15f31a89483aae5b75e1e60fc5ef;GPU mining emergence;InfrastructureEvent;9;meme evenement (passage du minage CPU au GPU, Laszlo Hanyecz) , descriptions concordantes , meme section I.2.2 , meme type;non;FR: aucune | EN: aucune;1 communes , 0 propres a FR , 0 propres a EN;doublon-fr-en-probable;Les dates divergent : 2010-04-01 (ef24c1fb, autorite TIMELINE_FIGURE) contre 2010-07 (5dfe15f3). Laquelle la chronologie de la these donne-t-elle, et vers quelle fiche fusionner ?;Divergence de date a arbitrer AVANT toute fusion : ef24c1fb declare dateAuthority=TIMELINE_FIGURE, 5dfe15f3 ne declare aucune autorite.
P12;9670a4beed1a47bda5628c9770dddfd1;InfrastructureEvent — Première bourse d’échange importante (MtGox);InfrastructureEvent;17;6661cad88f9145a6ad28d6c30840ef00;Mt. Gox;InfrastructureEvent;18;les deux fiches decrivent le lancement de MtGox par Jed McCaleb en 2010 comme premiere grande bourse BTC/$ , meme section I.2.2 , meme type;non;FR: aucune | EN: aucune;1 communes , 0 propres a FR , 0 propres a EN;indetermine;6661cad8 est-il l'evenement (lancement) ou l'organisation ? Son nom est le nom propre de la plateforme et une entite Organization « MtGox » (ad19591a, degre 28) existe deja. Faut-il fusionner 6661cad8 dans 9670a4be, le verser dans ad19591a, ou le conserver ?;REFUS DE CONCLURE : triangle a trois fiches (evenement FR, fiche EN au nom propre, Organization). La correspondance n'est pas linguistique — « Mt. Gox » n'est pas la traduction de quoi que ce soit — mais typologique. Dates divergentes (2010 vs 2010-07-18).
P13;d2a8798b6f064140851367c98162f594;InfrastructureEvent — Première plateforme d’échange BTC (BitcoinMarket.com);InfrastructureEvent;22;20dac14d83a2433fae0c7392e380bf6e;BitcoinMarket exchange launch;InfrastructureEvent;26;meme evenement (BitcoinMarket.com, premiere cotation BTC/$) , meme date exacte 2010-03-17 , ensembles de sections strictement identiques (20 cles);non;FR: aucune | EN: aucune;20 communes , 0 propres a FR , 0 propres a EN;doublon-fr-en-probable;Fusionner vers d2a8798b (autorite de date TIMELINE_FIGURE) ou vers 20dac14d (degre 26, porte les relations exemplified-by et supports) ?;20 sections communes sur 20 et meme date au jour pres : correspondance mecaniquement etablie. Les deux fiches divergent sur la source de la date (Sedgwick 2018b contre figure de chronologie).
P14;d693882f7dc74d6cb9a875d029f155aa;InfrastructureEvent — Service de portefeuille/paiement custodial BitPay;InfrastructureEvent;4;4e1cf0998d754fef8d8ace2d4daad389;BitPay merchant payment processor;InfrastructureEvent;7;attribut description strictement identique de part et d'autre (« Processeur de paiements marchands Bitcoin fonde en 2011... ») , meme section I.2.2 , meme type;non;FR: aucune | EN: aucune;1 communes , 0 propres a FR , 0 propres a EN;doublon-fr-en-probable;Fusionner vers d693882f (dateAuthority=TIMELINE_FIGURE, date 2011-06-03) ou vers 4e1cf099 (degre 7, relations part-of vers le segment paiement, date 2011-05) ?;Description identique caractere pour caractere : la preuve la plus nette d'un import double. Dates divergentes d'un mois.
P15;714f6de9e72d4162a186c2c0e459f15f;InfrastructureEvent — Soft fork : correction bug 'Void of bitcoin';InfrastructureEvent;22;5b8c5959b2114befb0021a2c5d416e6f;InfrastructureEvent — First soft fork (Value overflow bug fix);InfrastructureEvent;4;meme evenement (premier soft fork correctif du bug d'overflow, 184 milliards de BTC) , meme date 2010-07-28 , meme dateAuthority TIMELINE_FIGURE , meme type;non;FR: aucune | EN: aucune;0 communes , 19 propres a FR , 1 propres a EN;doublon-fr-en-probable;Fusionner vers 714f6de9 (degre 22, cable sur 19 sections) et verser 5b8c5959 (degre 4, 1 section) en alias, ou conserver le libelle anglais qui nomme le CVE (CVE-2010-5139) que le libelle francais tait ?;5b8c5959 nomme le CVE-2010-5139 dans sa description, pas 714f6de9 : la fiche la moins cablee porte l'information la plus precise. Une fusion qui ne recupere pas cette mention perd de la donnee.
P16;53983b5343c0ff0a8253aa23d5c3ad45;Institutionnalisme Monétaire Francophone;Concept;12;2e24bde03cad4d56b1c0c012d7cf1e57;Institutionnalisme Monetaire Francophone (IMF);TheoreticFramework;19;meme referent (le courant IMF : Aglietta, Orlean, Theret, Blanc, Cartelier) , les deux noms sont identiques a l'accent et a l'acronyme pres , deja signale par entity-alias-table-v1.csv;oui;FR: aucune | EN: aucune;0 communes , 7 propres a FR , 1 propres a EN;conflit-de-types;Un courant theorique doit-il exister a la fois comme TheoreticFramework et comme Concept ? Faut-il retyper 53983b53 en TheoreticFramework puis fusionner, ou considerer que le Concept designe la doctrine et le Framework l'outil d'analyse ?;Couple INTRA-FRANCAIS (variante orthographique + acronyme), inclus parce que la commande de l'auteur du 2026-08-07 le nomme. 53983b53 est cablee sur 7 sections reelles (II.2, intro), 2e24bde0 sur une seule , aucune commune.
