applicateur,version_source,version_cible,famille,source_graph_present,rejouable_now,motif_non_rejouable,intrants_auxiliaires,fichiers_ecrits,lot_correle,mecanisme_deja_applique,rejeu_sur_applique,reproduit_historique,a_dry_run,ecriture,rollback,controle_version_source,ecrit_version_cible,risque_etat_partiel,defaut_reproduit
make_v97_remove_truncated_broken_relations.py,v96,v97,reconstruction-integrale,oui,oui,,(aucun),<graphe cible>,non,sans-garde — fonction pure de la source,REFUSE,IDENTIQUE,NON,directe,non,non,NON — herite de la source,non,space.version herite de la source : la sortie porterait la version du parent (mesure)
make_v98_add_missing_chronology_events.py,v97,v98,patch-declaratif,oui,oui,,patch,<graphe cible>,non,validation incidente (31 problemes),REFUSE,IDENTIQUE,oui,directe,non,non,NON — herite de la source,non,space.version herite de la source : la sortie porterait la version du parent (mesure)
make_v99_wire_maturation_phase.py,v98,v99,patch-declaratif,oui,oui,,patch,<graphe cible>,non,patch : source_graph declare,REFUSE,IDENTIQUE,oui,directe,non,non,NON — herite de la source,non,space.version herite de la source : la sortie porterait la version du parent (mesure)
make_v100_section_migration.py,v99,v100,patch-declaratif,oui,oui,,creation + migration,<graphe cible>,non,patch : invocation refusee,REFUSE,DIFFERENT — space.generated_at,oui,directe,non,non,nom de fichier,non,
make_v101_drop_orphan_ops.py,v100,v101,transformation-directe,oui,oui,,(aucun),<graphe cible>,non,aucun — accepte et ne fait rien,ACCEPTE,DIFFERENT — space.version,oui,directe,non,non,NON — herite de la source,non,space.version herite de la source : la sortie porterait la version du parent (mesure)
make_v102_restore_domain_ii.py,v101,v102,transformation-directe,oui,oui,,(aucun),<graphe cible>,non,echec incident (entite consommee),REFUSE,DIFFERENT — space.version,oui,directe,non,non,NON — herite de la source,non,space.version herite de la source : la sortie porterait la version du parent (mesure)
make_v103_wire_events_to_domains.py,v102,v103,transformation-directe,oui,oui,,catalogue + divergences,<graphe cible> + <csv divergences>,non,"aucun — accepte, ecarte les deja-poses",ACCEPTE,DIFFERENT — space.version + relation_count,oui,directe,non,non,NON — herite de la source,non,space.version herite de la source : la sortie porterait la version du parent (mesure)
make_v104_ethereum_hard_forks.py,v103,v104,transformation-directe,oui,oui,,frise,<graphe cible>,non,collision d identifiant,REFUSE,DIFFERENT — space.version,oui,directe,non,non,NON — herite de la source,non,space.version herite de la source : la sortie porterait la version du parent (mesure)
make_v105_dedup_events.py,v104,v105,patch-declaratif,oui,oui,,patch,<graphe cible>,non,aucun — no-op sur donnees deja dedoublonnees,ACCEPTE,DIFFERENT — 117 entites + description desaccentuee,oui,directe,non,non,NON — herite de la source,non,space.version herite de la source : la sortie porterait la version du parent (mesure)
make_v107_wire_chapter_I_tree.py,v106,v107,patch-declaratif,oui,oui,,patch,<graphe cible> + <patch/recu>,non,domaine : aucune section sans « section of »,REFUSE,IDENTIQUE,oui,directe,non,non,NON — herite de la source,non,space.version herite de la source : la sortie porterait la version du parent (mesure)
make_v108_realign_relation_section_keys.py,v107,v108,transformation-directe,oui,oui,,(aucun),<graphe cible>,non,domaine : « deja conformes »,REFUSE,DIFFERENT — space.note,oui,directe,non,non,nom de fichier,non,
make_v109_realign_anchoring_charges.py,v108,v109,lot-correle-multifichier,oui,non,"garde du lot correle : les cartes du depot sont deja POST, rejouer deplacerait des charges deja posees",oracle + v107,<graphe cible> + entity_section_map.json + section_entities_map.json,oui,domaine : cles temoin des CARTES (pas du graphe),REFUSE,"REFUSE — garde des cartes, non rejouable",oui,directe,non,non,nom de fichier,"OUI — plusieurs fichiers, ecriture directe, sans retour","lot de 3 fichiers ecrit directement, cartes AVANT le graphe ; sa garde ne regarde que les cartes"
make_v110_apply_bib_and_attribute_patches.py,v109,v110,patch-declaratif,oui,oui,,attrs + bib + registre,<graphe cible>,non,patch : source_graph declare,REFUSE,IDENTIQUE,oui,directe,non,non,nom de fichier,non,
make_v111_apply_section_page_start_patch.py,v110,v111,patch-candidat-verrouille,oui,oui,,csv + patch + registre,<graphe cible>,non,graphe source : space.version,REFUSE,IDENTIQUE,oui,temporaire + os.replace,non,non,constante,non,
make_v112_apply_chronology_dates_patch.py,v111,v112,patch-candidat-verrouille,oui,oui,,patch,<graphe cible>,non,graphe source : space.version,REFUSE,IDENTIQUE,oui,temporaire + os.replace,non,oui,constante,non,
make_v113_apply_bibliography_retypes.py,v112,v113,patch-candidat-verrouille,oui,oui,,patch,<graphe cible>,non,graphe source : space.version,REFUSE,IDENTIQUE,oui,temporaire + os.replace,non,oui,constante,non,
make_v114_apply_bibliography_authorship_relations.py,v113,v114,patch-candidat-verrouille,oui,oui,,patch,<graphe cible>,non,graphe source : space.version,REFUSE,IDENTIQUE,oui,temporaire + os.replace,non,oui,constante,non,
make_v115_apply_favier_2021_label_correction.py,v114,v115,lot-correle-multifichier,oui,non,"garde du lot correle : les cartes du depot sont deja POST, rejouer deplacerait des charges deja posees",patch,<graphe cible> + entity_section_map.json + section_entities_map.json,oui,graphe source : space.version + etat_du_lot PRE/POST/MIXTE,REFUSE,"NON REJOUE — POST detecte, rien reecrit",oui,temporaire + os.replace,oui (restauration),oui,constante,"borne — temporaires puis bascule, avec restauration",
