entity_id,entity_name,entity_types,cle_date,date_graphe,dateSource_graphe,fichier_these,ligne_these,citation_verbatim,date_dans_le_texte,statut,ecart,decision_requise,question_pour_mael,notes
d35d720e1fa24d9fbe665a90ac0abc73,Bitcoin,Protocol,launchYear,2009-01-03T00:00:00.000Z,,assets/MD/01_chapitre_I.md,169,"…opérations de production d'un enregistrement candidat[^51]. À la suite de l'enregistrement de genèse du 3 janvier 2009[^52], chaque nouveau bloc qui devient canonique donne lieu au versement de…",3 janvier 2009,accord,,non,,"launchYear=2009-01-03 : date de l'enregistrement de genese, confirmee aussi 00_introduction.md l.308 et 01_chapitre_I.md l.487."
2956b3b87db1448f8a2ddde82d39e9c9,Ethereum,Protocol,launchYear,2015-07-30T00:00:00.000Z,,assets/MD/03_chapitre_III.md,529,"…la remise en ordre. Nous démarrons la périodisation au lancement du protocole Ethereum, le 30 juillet 2015, pour souligner que le contexte de cette crise est celui des premiers temps du protocole…",30 juillet 2015 (ch.III) / 20 juillet 2015 (ch.I l.399 et l.443),desaccord_these_probablement_fausse,10 jours,oui,"La these se contredit sur la date de lancement d'Ethereum : ch.I l.399 et l.443 disent 20/07/2015, ch.III l.529 et les annexes (05_glossaire_annexes.md l.337 et l.569) disent 30/07/2015. Le graphe suit 30/07. Confirmez-vous que 30/07/2015 est la bonne date et que le ch.I porte une coquille ?",CONTRADICTION INTERNE A LA THESE. 3 occurrences 30/07 (ch.III l.529 ; annexes l.337 ; annexes l.569) contre 2 occurrences 20/07 (ch.I l.399 ; ch.I l.443). Le graphe n'est pas en cause.
db9a125c4c7a4d03bd19d3dc8c474a9e,Bitcoin CVE 2018-17144,CrisisEvent,date,2018-09-01T00:00:00.000Z,,assets/MD/03_chapitre_III.md,39,"…une poignée d'acteurs de confiance. Cette faille Bitcoin CVE 2018 doit sa découverte, le 17 septembre 2018, à « *Awemany* », un développeur « extérieur » à Bitcoin (Awemany 2018 ; Bitcoin Core…","17 septembre 2018 (decouverte) ; 20 septembre 2018 (divulgation complete, 07_bibliographie.md l.148)",accord_granularite_differente,,non,,Le graphe porte 2018-09-01 : le 01 est un remplissage de mois (la description dit « septembre 2018 »). Le texte ne date jamais la crise au 1er septembre.
6213eb5f73954b8e957f5649a854c578,Lightning Network,Protocol,launchYear,2018-03-15T00:00:00.000Z,,assets/MD/01_chapitre_I.md,645,"…ainsi constitués. La première implémentation logicielle de ce système est publiée en mars 2018 par « Lightning Labs », entreprise fondée par des Bitcoiners de la première heure rejoints par des…",mars 2018,accord_granularite_differente,,non,,Le graphe date launchYear=2018-03-15 ; le texte dit « mars 2018 » sans jour. Le meme passage date la formalisation du protocole « dès 2015 » (Poon & Dryja).
a4553092b4a94a52a56858474c8da2c9,Bitcoin Cash,Protocol,launchYear | fork_date,2017-08-01T00:00:00.000Z | Août 2017,,assets/MD/02_chapitre_II.md,402,"…exclusive des mineurs. Cette initiative conduira à l'adoption effective de SegWit le 1^er^ août 2017, sans l'augmentation de la taille des blocs prévue par SEGWIT2X. En réponse, les « *Big…",août 2017,accord,,non,,launchYear=2017-08-01 et fork_date='Août 2017' concordent avec le texte (mois seul dans la these).
273237e8600e4e289cd76da835a82e67,Bitcoin CVE 2010-5139 (Value Overflow),CrisisEvent,date,15/08/2010,,assets/MD/03_chapitre_III.md,221,"…c'est S. Nakamoto et les premiers développeurs qui se chargeront de la remise en ordre. Le 15 août, un « *enregistrement étrange* \[, le\] *74638* »[^47] est pointé par J. Garzik sur…",août 2010 ; « Le 15 août »,accord,,non,,"Le meme paragraphe donne « (crise n°4) d'août 2010 » puis « Le 15 août, un enregistrement étrange [, le] 74638 »."
c4eab4f4b3f54162b2404b3da684b840,Attaque de The DAO,CrisisEvent,date,17/06/2016,,assets/MD/03_chapitre_III.md,559,"…un «* exploit similaire dans la fonction splitDAO* » (*Ibid.*). Au petit matin du 17 juin, une attaque est lancée impliquant cette fonction, qui est un dispositif innovant conçut par «…","17 juin (annee 2016 etablie par le contexte, ch.III l.553 « En cette fin du mois de mai 2016 »)",accord,,non,,Le millesime n'est pas repete sur la ligne de l'attaque ; il est porte par le paragraphe precedent (l.553).
e3742113c4674c52930e54ff203f0ac6,Bitcoin Scaling Debate,CrisisEvent,date,2015-2017,,assets/MD/02_chapitre_II.md,406,"…l'écosystème. La première augmentation de la limite est proposée en 2013, mais les débats s'intensifient en 2015 (Wirdum 2017). Des projets de nouvelles implémentations révèlent des divisions au…",2013 (première proposition) – 2015 (intensification) – 2017,accord_granularite_differente,,non,,"Le graphe porte l'intervalle 2015-2017 ; le texte situe la premiere proposition en 2013 et l'intensification en 2015. Bornes compatibles, pas identiques."
5ea44d21a07d4d13a6f1d6677936b8e7,Ethereum Classic (ETHC),Protocol,launchYear,2016-07-20T00:00:00.000Z,,assets/MD/03_chapitre_III.md,733,"Le 10 juillet, en amont du *Fork*, un anonyme avait créé un répertoire Github appelé « *Ethereum Classic* » (ETHC). Dans un article de *Bitcoin Magazine*, Wirdum (2016) souligne que, si « *Ethereum…",10 juillet 2016 (creation du repertoire Github ETHC),two_distinct_events_possible,10 jours,oui,Le graphe date Ethereum Classic au 20/07/2016 (jour du Hard Fork) ; la these date au 10 juillet 2016 la creation du repertoire Github « Ethereum Classic ». Faut-il distinguer deux actes (creation du projet / naissance de la chaine par le fork) ou garder une seule date ?,"Deux actes distincts et tous deux attestes : 10/07/2016 (repertoire Github, ch.III l.733) et 20/07/2016 (Hard Fork). 07_bibliographie.md l.1292 (Wirdum) est date du 20 juillet 2016."
bf9931aa5cec4f87ae0edce43a1907ea,Go-Ethereum (Geth),SoftwareClient,launchYear,2015-07-30T00:00:00.000Z,,assets/MD/03_chapitre_III.md,686,"| **Geth** | 97,44% | **Geth** | 79,52% | |",,absent_du_texte,,non,,"Geth est cite (tableau des implementations clientes, ch.III l.686 et l.1071) mais AUCUNE date de lancement n'est donnee dans la these. Le launchYear=2015-07-30 du graphe n'est ni confirme ni refute par le texte."
