entity_id;entity_name;entity_types;cle_date;date_graphe;dateSource_graphe;motif_selection;date_externe;statut;nb_sources;qualite_source;sources;ecart;decision_requise;question_pour_mael;notes
db9a125c;Bitcoin CVE 2018-17144;CrisisEvent;date;2018-09-01T00:00:00.000Z;;"coeur demonstratif ch.III (crise 1/2) ; jour 01 suspect (troncature au mois stockee en timestamp complet)";"2018-09-17 signalement ; 2018-09-18 correctif 0.16.3 ; 2018-09-20 divulgation complete";confirme;4;primaire;https://raw.githubusercontent.com/bitcoin-core/bitcoincore.org/master/_posts/en/posts/2018-09-20-notice.md|https://github.com/bitcoin/bitcoin/pull/14247|https://github.com/bitcoin/bitcoin/releases/tag/v0.16.3|https://raw.githubusercontent.com/bitcoin-dot-org/Bitcoin.org/master/_alerts/2018-09-21-required-upgrade.md;"mois exact ; le jour 01 n'est atteste par aucune source";oui;Q1;"notice bitcoincore.org (depot source) : « 14:57 anonymous reporter reports crash bug to: Pieter Wuille, Greg Maxwell, Wladimir Van Der Laan of Bitcoin Core, deadalnix of Bitcoin ABC, and sickpig of Bitcoin Unlimited » (17/09/2018) ; « Bitcoin Core PR 14247 published with patch and test demonstrating the Denial of Service bug » ; « a fix for which was released on September 18th in Bitcoin Core versions 0.16.3 and 0.17.0rc4 » ; « On September 20th a post in a public forum reported the full impact ». PR #14247 : « Sep 17, 2018 » (ouverture et merge). Tag v0.16.3 : « 18 Sep 21:14 ». Alerte Bitcoin.org du 2018-09-21 : « A bug fixed in 0.16.3 is more severe than was previously made public ». Le miroir btcphilosophyfork (https://raw.githubusercontent.com/kallerosenbaum/btcphilosophyfork/master/sources/trustlessness/cve-2018-17144.adoc) redit le meme texte, il n'a pas ete compte comme source independante."
9c3c6d95;CVE-2018-17144 — Signalement et divulgation responsable;CrisisPhase;timeStart|timeEnd;2018-09-17|2018-09-20;;"phase de la crise centrale du ch.III ; bornes datees, verifiables";"2018-09-17 (signalement) ; 2018-09-20 (divulgation complete)";confirme;2;primaire;https://raw.githubusercontent.com/bitcoin-core/bitcoincore.org/master/_posts/en/posts/2018-09-20-notice.md|https://github.com/bitcoin/bitcoin/pull/14247;0;oui;Q2;"Bornes attestees. MAIS incoherence interne du graphe : cette phase (order=0) se termine le 20/09 alors que la phase order=1 (143db183) se termine le 18/09 et que la phase order=3 (896a139f) commence le 20/09. Le decoupage en phases est une analyse de l'auteur, pas un fait externe ; seules les bornes 17, 18 et 20 septembre sont datees par les sources."
143db183;CVE-2018-17144 — Évaluation en huis clos;CrisisPhase;timeStart|timeEnd;2018-09-17|2018-09-18;;"phase de la crise centrale du ch.III ; borne de fin = date du correctif";"2018-09-17 (signalement 14:57 UTC, PR 21:57 UTC) ; 2018-09-18 (release 0.16.3)";confirme;2;primaire;https://raw.githubusercontent.com/bitcoin-core/bitcoincore.org/master/_posts/en/posts/2018-09-20-notice.md|https://github.com/bitcoin/bitcoin/pull/14247;0;non;;Les deux bornes tombent sur des actes dates par la notice et par les metadonnees GitHub du PR #14247. Voir la reserve d'ordonnancement notee sur 9c3c6d95.
06ac37fc;InfrastructureEvent — Nakamoto crée le forum Bitcointalk;InfrastructureEvent;date;2009-11-22;"Thèse — Chronologie (figure) Chapitre I.2 ; dateAuthority=TIMELINE_FIGURE";"cas prioritaire 2 : deux fiches, meme jour-mois, annees differentes ; date dont le graphe est la seule trace (TIMELINE_FIGURE)";2009-11-22;indice_unique;3;primaire;https://raw.githubusercontent.com/lugaxker/nakamoto-archive/master/doc/bitcoin-forum/0005-00028.md|https://raw.githubusercontent.com/lugaxker/nakamoto-archive/master/doc/bitcoin-forum/0006-00029.md|https://raw.githubusercontent.com/lugaxker/nakamoto-archive/master/README.md;0;non;;Premier message archive du forum : « Date: November 22, 2009, 06:04:28 PM », auteur « satoshi », fil « Welcome to the new Bitcoin forum! ». Second post du meme jour : « November 22, 2009, 06:31:44 PM », fil « Bitcoin Maturation ». Table des sources de l'archive : « bitcoin-forum-satoshi-nakamoto.tgz | 2009-11-22 | Bitcoin forum posts, with context ». Statut indice_unique et non confirme : les trois URL viennent du MEME depot (lugaxker/nakamoto-archive), elles ne sont donc pas independantes. bitcointalk.org, en.bitcoin.it, satoshi.nakamotoinstitute.org et archive.org sont bloques par le proxy.
0d81bba0;InfrastructureEvent — BitcoinTalk forum created;InfrastructureEvent;date;2010-11-22;"Thèse — Chronologie 2 (p.88) ; dateAuthority=TIMELINE_FIGURE";cas prioritaire 2 : doublon anglais de 06ac37fc avec une annee differente;2009-11-22;refute;3;primaire;https://raw.githubusercontent.com/lugaxker/nakamoto-archive/master/doc/bitcoin-forum/0005-00028.md|https://raw.githubusercontent.com/lugaxker/nakamoto-archive/master/doc/bitcoin-forum/0006-00029.md|https://raw.githubusercontent.com/lugaxker/nakamoto-archive/master/README.md;+1 an (2010 au lieu de 2009);oui;Q3;"Refutation appuyee sur (a) l'archive Nakamoto : le premier message du forum est date du « November 22, 2009, 06:04:28 PM » ; (b) une contradiction INTERNE au graphe : l'attribut description de cette meme fiche dit « Forum Bitcoin cree par Satoshi Nakamoto en novembre 2009 (initialement Bitcoin Forum) » alors que son attribut date dit 2010-11-22. Reserve : les URL externes proviennent d'un seul depot d'archive ; je n'ai pas pu croiser avec bitcointalk.org ni en.bitcoin.it (bloques)."
3c3d4fec;InfrastructureEvent — Lancement d'Ethereum (Frontier, 30 juillet 2015);InfrastructureEvent;date;30/07/2015;;"cas prioritaire 3 ; format DD/MM/YYYY ambigu ; verdict anterieur a re-verifier (dates-verification-externe.csv)";2015-07-30;indice_unique;1;primaire;https://raw.githubusercontent.com/ethereum/execution-specs/master/docs/specs/protocol_history.md;0;oui;Q4;ethereum/execution-specs, docs/specs/protocol_history.md : ligne « Frontier | 1 | 2015-07-30 ». Le verdict anterieur du depot (CONFIRME_EXTERNE_GRAPHE_DEJA_JUSTE, appuye sur le blog de la Fondation et CoinDesk) est donc CONFIRME par une source differente — mais avec une seule source, je le classe indice_unique et non confirme. Source d'appoint non comptee : la release geth v1.0.0 (https://github.com/ethereum/go-ethereum/releases/tag/v1.0.0) affiche « 29 Jul 14:44 » et se decrit comme « the first major and first live-net version of the go-ethereum client geth », mais GitHub n'affiche pas l'annee sur cette page — je ne peux donc pas l'utiliser comme datation. blog.ethereum.org et coindesk.com sont bloques par le proxy.
6f8631ea;Ethereum Hard Fork — Frontier Thawing;ProtocolChange (chronologie HF);date;2015-08-04;"Chronologie des HF d'Ethereum V1 (M. Rolland) ; dateAuthority=AUTHOR_VERIFIED";"cas prioritaire 3 ; date dont le graphe est la seule trace (chronologie personnelle non publiee)";2015-09-07 (activation, bloc 200 000);two_distinct_events_possible;1;primaire;https://raw.githubusercontent.com/ethereum/execution-specs/master/docs/specs/protocol_history.md;+34 jours entre la date du graphe et l'activation attestee;oui;Q5;"execution-specs : ligne « Frontier Thawing | 200000 | 2015-09-07 ». Deux actes sont plausibles : (a) l'ANNONCE du protocole update par la Fondation Ethereum, que la recherche web situe le 04/08/2015 (billet « Ethereum Protocol Update 1 ») — je n'ai PAS pu recuperer ce billet, blog.ethereum.org etant bloque par le proxy, donc cette jambe n'est PAS verifiee ; (b) l'ACTIVATION au bloc 200 000, le 07/09/2015, attestee. Ne pas traiter comme une contradiction tant que la jambe (a) n'est pas verifiee."
2daf1473;Ethereum Hard Fork — Homestead;ProtocolChange (chronologie HF);date;2016-03-14;"Chronologie des HF d'Ethereum V1 (M. Rolland) ; dateAuthority=AUTHOR_VERIFIED";"cas prioritaire 7 (hard forks Ethereum) ; date dont le graphe est la seule trace publique (chronologie personnelle « non mobilisee dans la these »)";2016-03-14;indice_unique;3;primaire;https://raw.githubusercontent.com/ethereum/execution-specs/master/docs/specs/protocol_history.md|https://github.com/ethereum/EIPs/blob/master/EIPS/eip-606.md|https://github.com/ethereum/go-ethereum/blob/master/params/config.go;0;non;;"execution-specs : « Homestead | 1150000 | 2016-03-14 ». EIP-606 (« Hardfork Meta: Homestead ») confirme « Mainnet: Block 1,150,000 » et renvoie a un billet du blog EF du 29/02/2016 — soit une date d'ANNONCE distincte de l'activation ; le graphe retient bien l'activation. Seule execution-specs porte la date : une source datante, d'ou indice_unique. Bloc d'activation : 1 150 000. Une seule source DATANTE a ete accessible pour l'ensemble des forks (ethereum/execution-specs) : ethereum.org, blog.ethereum.org, etherscan et wikipedia sont bloques par le proxy. D'ou indice_unique pour toute la serie."
dfc2028b;Ethereum Hard Fork — Tangerine Whistle;ProtocolChange (chronologie HF);date;2016-10-18;"Chronologie des HF d'Ethereum V1 (M. Rolland) ; dateAuthority=AUTHOR_VERIFIED";"cas prioritaire 7 (hard forks Ethereum) ; date dont le graphe est la seule trace publique (chronologie personnelle « non mobilisee dans la these »)";2016-10-18;indice_unique;2;primaire;https://raw.githubusercontent.com/ethereum/execution-specs/master/docs/specs/protocol_history.md|https://github.com/ethereum/go-ethereum/blob/master/params/config.go;0;non;;execution-specs : « Tangerine Whistle | 2463000 | 2016-10-18 ». params/config.go confirme le bloc EIP150 = 2 463 000 mais ne porte aucune date. Bloc d'activation : 2 463 000. Une seule source DATANTE a ete accessible pour l'ensemble des forks (ethereum/execution-specs) : ethereum.org, blog.ethereum.org, etherscan et wikipedia sont bloques par le proxy. D'ou indice_unique pour toute la serie.
90748c44;Ethereum Hard Fork — Spurious Dragon;ProtocolChange (chronologie HF);date;2016-11-22;"Chronologie des HF d'Ethereum V1 (M. Rolland) ; dateAuthority=AUTHOR_VERIFIED";"cas prioritaire 7 (hard forks Ethereum) ; date dont le graphe est la seule trace publique (chronologie personnelle « non mobilisee dans la these »)";2016-11-22;indice_unique;3;primaire;https://raw.githubusercontent.com/ethereum/execution-specs/master/docs/specs/protocol_history.md|https://raw.githubusercontent.com/ethereum/EIPs/master/EIPS/eip-607.md|https://github.com/ethereum/go-ethereum/blob/master/params/config.go;0;non;;execution-specs : « Spurious Dragon | 2675000 | 2016-11-22 ». EIP-607 confirme « Block >= 2,675,000 » et renvoie au billet EF du 18/11/2016 (annonce) : le graphe retient l'activation, pas l'annonce. Piege signale : une lecture de la page ethereum.org/ethereum-forks laisse croire au 18/11. Bloc d'activation : 2 675 000. Une seule source DATANTE a ete accessible pour l'ensemble des forks (ethereum/execution-specs) : ethereum.org, blog.ethereum.org, etherscan et wikipedia sont bloques par le proxy. D'ou indice_unique pour toute la serie.
