source_entity,proposed_relation,target_entity,chapter_hint,status,priority,rationale
Monétisation,isElaboratedIn,Chap. II,Chap.II,STRONGLY_SUPPORTED_ADD,high,Monetization is a central analytic axis of chapter II.
Développement carnavalesque,isElaboratedIn,Chap. I,Chap.I,STRONGLY_SUPPORTED_ADD,high,Carnivalesque development is a core analytic frame for chapter I.
Infrastructure sociotechnique,structures,Chap. I,Chap.I,STRONGLY_SUPPORTED_ADD,high,Chapter I frames Bitcoin and Ethereum as sociotechnical infrastructures.
Gouvernance polycentrique,isElaboratedIn,Chap. II,Chap.II,STRONGLY_SUPPORTED_ADD,high,Polycentric governance is introduced and clarified in chapter II.
Mise en crise / Remise en ordre,isElaboratedIn,Chap. III,Chap.III,STRONGLY_SUPPORTED_ADD,high,This concept pair structures chapter III.
Nominalisme monétaire non étatiste,isElaboratedIn,Chap. II,Chap.II,STRONGLY_SUPPORTED_ADD,high,Nominalist non-statist monetary stance is a chapter II core frame.
Scaling Debate (2015-2017),reveals,Gouvernance polycentrique,Chap.II,STRONGLY_SUPPORTED_ADD,high,Scaling Debate is treated as a governance clarification scene.
Scaling Debate (2015-2017),takesPlaceIn,Bitcoin-dev Mailing List,Chap.II,STRONGLY_SUPPORTED_ADD,high,Mailing list is one of the key arenas of the debate.
Scaling Debate (2015-2017),takesPlaceIn,GitHub Bitcoin Core,Chap.II,STRONGLY_SUPPORTED_ADD,high,GitHub is central to code/development governance around the debate.
Scaling Debate (2015-2017),takesPlaceIn,Bitcointalk Forum,Chap.II,STRONGLY_SUPPORTED_ADD,medium,Bitcointalk is a public discussion arena for Bitcoin conflicts.
Scaling Debate (2015-2017),involves,Core Developers (Bitcoin),Chap.II,STRONGLY_SUPPORTED_ADD,high,Core developers are a key governance group in the debate.
Scaling Debate (2015-2017),involves,Big Blockers,Chap.II,STRONGLY_SUPPORTED_ADD,high,Big Blockers form a central camp in the blocksize conflict.
Scaling Debate (2015-2017),involves,Small Blockers,Chap.II,STRONGLY_SUPPORTED_ADD,high,Small Blockers form the opposing governance camp.
Big Blockers,opposes,Small Blockers,Chap.II,STRONGLY_SUPPORTED_ADD,high,The camps are defined in opposition within the blocksize governance conflict.
Core Developers (Bitcoin),participatesIn,Scaling Debate (2015-2017),Chap.II,STRONGLY_SUPPORTED_ADD,high,Core developers participate directly in the debate.
Développeurs core,isInstantiatedBy,Core Developers (Bitcoin),Chap.II,STRONGLY_SUPPORTED_ADD,high,Empirical group instantiates the analytic stakeholder category.
Mineurs,isRepresentedBy,Pools de minage,Chap.II,STRONGLY_SUPPORTED_ADD,medium,Mining pools concretize the mining category in governance struggles.
Bitcoin CVE 2018-17144,reveals,Gouvernance de huis clos,Chap.III,STRONGLY_SUPPORTED_ADD,high,The CVE case reveals closed-door governance routines.
Bitcoin CVE 2018-17144,reveals,Politique de crises,Chap.III,STRONGLY_SUPPORTED_ADD,high,The CVE episode exemplifies crisis politics.
Bitcoin CVE 2018-17144,isAnalysedThrough,Mise en crise / Remise en ordre,Chap.III,STRONGLY_SUPPORTED_ADD,high,The CVE sequence is read through crisis and re-ordering.
Bitcoin CVE 2018-17144,takesPlaceIn,GitHub Bitcoin Core,Chap.III,STRONGLY_SUPPORTED_ADD,medium,GitHub is a key maintenance arena of the resolution sequence.
Bitcoin CVE 2018-17144,involves,Core Developers (Bitcoin),Chap.III,STRONGLY_SUPPORTED_ADD,high,The CVE is handled by the core development group.
Bitcoin CVE 2018-17144,involves,Peter Wuille,Chap.III,STRONGLY_SUPPORTED_ADD,medium,Peter Wuille is one of the key acting persons around Bitcoin Core maintenance.
Bitcoin CVE 2018-17144,involves,Greg Maxwell,Chap.III,STRONGLY_SUPPORTED_ADD,medium,Greg Maxwell is a core acting person in Bitcoin governance/maintenance.
CVE-2018-17144 — Signalement et divulgation responsable,isPhaseOf,Bitcoin CVE 2018-17144,Chap.III,SAFE_ADD,high,Signalement phase is part of the CVE sequence.
CVE-2018-17144 — Évaluation en huis clos,isPhaseOf,Bitcoin CVE 2018-17144,Chap.III,SAFE_ADD,high,Closed-door evaluation is part of the CVE sequence.
CVE-2018-17144 — Révélation publique et consensus ex post,isPhaseOf,Bitcoin CVE 2018-17144,Chap.III,SAFE_ADD,high,Public revelation is part of the CVE sequence.
CVE-2018-17144 — Remise en ordre par patch,isPhaseOf,Bitcoin CVE 2018-17144,Chap.III,SAFE_ADD,high,Patch restoration is part of the CVE sequence.
The DAO,reveals,Gouvernance publique d’exception,Chap.III,STRONGLY_SUPPORTED_ADD,high,DAO crisis is analyzed as a public governance of exception.
The DAO,reveals,Code is Law,Chap.III,STRONGLY_SUPPORTED_ADD,high,The DAO makes Code is Law conflict visible.
The DAO,reveals,Esprit du code vs Lettre du code,Chap.III,STRONGLY_SUPPORTED_ADD,high,The DAO crisis is read through spirit vs letter of the code.
The DAO,involves,Core Developers (Ethereum),Chap.III,STRONGLY_SUPPORTED_ADD,high,Ethereum core developers are central to the crisis management.
The DAO,involves,Ethereum Foundation,Chap.III,STRONGLY_SUPPORTED_ADD,medium,Ethereum Foundation is central in the Ethereum governance ecosystem.
The DAO,involves,Whitehat Group (DAO crisis),Chap.III,STRONGLY_SUPPORTED_ADD,high,White hats are a salient empirical coalition in the DAO crisis.
The DAO,involves,Vitalik Buterin,Chap.III,STRONGLY_SUPPORTED_ADD,medium,Vitalik is an acting person in DAO crisis governance.
The DAO,involves,Gavin Wood,Chap.III,STRONGLY_SUPPORTED_ADD,medium,Gavin Wood belongs to the Ethereum governance constellation.
The DAO,leadsTo,Ethereum Hard Fork,Chap.III,STRONGLY_SUPPORTED_ADD,high,DAO crisis leads to the hard fork sequence.
Partisans Ethereum Classic,emergeFrom,The DAO,Chap.III,STRONGLY_SUPPORTED_ADD,high,ETC supporters emerge in the aftermath of the DAO fork conflict.
Développement carnavalesque,isIllustratedBy,BitcoinMarket exchange launch,Chap.I,STRONGLY_SUPPORTED_ADD,medium,Early exchange emergence illustrates development beyond protocol.
Développement carnavalesque,isIllustratedBy,Bitcoin Foundation creation,Chap.I,STRONGLY_SUPPORTED_ADD,medium,Foundation creation illustrates infrastructural extension.
Développement carnavalesque,isIllustratedBy,WordPress accepte les paiements en Bitcoin (2012),Chap.I,STRONGLY_SUPPORTED_ADD,medium,Merchant/payment integration illustrates expansion of the Bitcoin world.
Développement carnavalesque,isIllustratedBy,eBay / PayPal intègre Bitcoin (2014-2015),Chap.I,STRONGLY_SUPPORTED_ADD,medium,Expansion of payment mediation illustrates carnival-like infrastructural growth.
Développement carnavalesque,isIllustratedBy,"Lancement Casascius Physical Bitcoins (Mike Caldwell, 2011)",Chap.I,STRONGLY_SUPPORTED_ADD,low,Physical bitcoin mediation is part of infrastructural improvisation.
Développement carnavalesque,isIllustratedBy,Innovations de métaprotocole Bitcoin (2012-2014),Chap.I,STRONGLY_SUPPORTED_ADD,medium,Meta-protocol innovations are key examples of infrastructural extension.
Innovations de métaprotocole Bitcoin (2012-2014),includes,"Colored Coins (protocole méta-token sur Bitcoin, 2012)",Chap.I,STRONGLY_SUPPORTED_ADD,medium,Colored Coins are one illustration of the metaprotocol family.
BitcoinMarket exchange launch,supports,Monétisation,Chap.I -> Chap.II bridge,STRONGLY_SUPPORTED_ADD,medium,Exchange infrastructure supports later monetization.
WordPress accepte les paiements en Bitcoin (2012),supports,Monétisation,Chap.I -> Chap.II bridge,STRONGLY_SUPPORTED_ADD,medium,Merchant acceptance supports monetary uses.
Passerelle / Gateway,isIllustratedBy,BitcoinMarket exchange launch,Chap.II,STRONGLY_SUPPORTED_ADD,medium,Exchanges instantiate the gateway concept.
Ether Genesis Sale (ICO Ethereum 2014),supports,Émergence d’Ethereum,Chap.I,PROPOSED_REVIEW,medium,Genesis sale supports the emergence of Ethereum; canonical target may need adaptation.
"Frontier (lancement mainnet Ethereum, juillet 2015)",supports,Émergence d’Ethereum,Chap.I,PROPOSED_REVIEW,medium,Frontier is a launch milestone in Ethereum emergence.
Ether Genesis Sale (ICO Ethereum 2014),precedes,"Frontier (lancement mainnet Ethereum, juillet 2015)",Chap.I,STRONGLY_SUPPORTED_ADD,medium,Genesis sale precedes mainnet launch.
Ethereum Foundation,emergesWith,Émergence d’Ethereum,Chap.I,PROPOSED_REVIEW,medium,Foundation belongs to Ethereum emergence constellation.
Vitalik Buterin,participatesIn,Émergence d’Ethereum,Chap.I,PROPOSED_REVIEW,medium,Vitalik is central in Ethereum emergence.
Core Developers (Bitcoin),takesPartIn,GitHub Bitcoin Core,Chap.II / Chap.III,STRONGLY_SUPPORTED_ADD,high,Core developers act in the GitHub arena.
Core Developers (Bitcoin),takesPartIn,Bitcoin-dev Mailing List,Chap.II,STRONGLY_SUPPORTED_ADD,high,Core developers act in the mailing list arena.
Core Developers (Ethereum),takesPartIn,All Core Dev Meetings,Chap.III,STRONGLY_SUPPORTED_ADD,medium,Ethereum core developers act in All Core Dev Meetings.
Développeurs core,isInstantiatedBy,Core Developers (Ethereum),Chap.III,STRONGLY_SUPPORTED_ADD,medium,Ethereum core dev group instantiates the same stakeholder category.
Stakeholders / Shareholders,isClarifiedBy,Scaling Debate (2015-2017),Chap.II,PROPOSED_REVIEW,medium,Chapter II uses the debate to clarify governance categories; exact label may vary.
Blockstream,participatesIn,Scaling Debate (2015-2017),Chap.II,STRONGLY_SUPPORTED_ADD,medium,Blockstream is part of the governance constellation around the blocksize conflict.
Bitmain,participatesIn,Scaling Debate (2015-2017),Chap.II,STRONGLY_SUPPORTED_ADD,medium,Bitmain belongs to the governance conflict constellation.
Jihan Wu,participatesIn,Scaling Debate (2015-2017),Chap.II,STRONGLY_SUPPORTED_ADD,medium,Jihan Wu is an acting person in blocksize governance conflict.
Adam Back,participatesIn,Scaling Debate (2015-2017),Chap.II,STRONGLY_SUPPORTED_ADD,medium,Adam Back is an acting person in Bitcoin governance conflict.
Susan Leigh Star,supportsConcept,Infrastructure sociotechnique,Chap.I / Intro,STRONGLY_SUPPORTED_ADD,medium,Star supports the sociotechnical infrastructure frame.
Geoffrey Bowker,supportsConcept,Infrastructure sociotechnique,Chap.I / Intro,STRONGLY_SUPPORTED_ADD,medium,Bowker belongs to the infrastructure studies frame.
De Filippi,supportsConcept,Gouvernance polycentrique,Chap.II,STRONGLY_SUPPORTED_ADD,high,De Filippi is explicitly mobilized for chapter II governance framing.
Loveluck,supportsConcept,Gouvernance polycentrique,Chap.II,STRONGLY_SUPPORTED_ADD,high,Loveluck is explicitly mobilized for chapter II governance framing.
André Orléan,supportsConcept,Nominalisme monétaire non étatiste,Chap.II,PROPOSED_REVIEW,medium,Orléan is part of the monetary theory context; exact relation should be verified.
Bruno Théret,supportsConcept,Nominalisme monétaire non étatiste,Chap.II,PROPOSED_REVIEW,medium,"Theoretical support likely, but exact linkage should be checked."
Monétisation,requires,Passerelle / Gateway,Chap.II,STRONGLY_SUPPORTED_ADD,medium,Gateways are key mediations of monetization.
Monétisation,requires,Découverte du prix,Chap.II,STRONGLY_SUPPORTED_ADD,medium,Price discovery is a core mechanism of monetization.
Monétisation,requires,Liquidité du marché,Chap.II,STRONGLY_SUPPORTED_ADD,medium,Liquidity is a core mechanism of monetization.
Monétisation,isSupportedBy,De la sphère d'usage (financière & réelle),Chap.II,STRONGLY_SUPPORTED_ADD,medium,Uses support monetization.
Monétisation,isSupportedBy,Marchands acceptant le Bitcoin,Chap.I / Chap.II bridge,STRONGLY_SUPPORTED_ADD,medium,Merchant use supports monetization.
