id_csv;statut;score;intitule;date_csv;date_iso;precision;phase;nature;crise;systeme;domaine_8;entite_graphe;id_graphe;date_graphe;motif;reserve_csv;source
E003;CONFIRMED_MISSING;0.0;Enregistrement de genese;2009-01-03;2009-01-03;jour;poc;acte;non;bitcoin;vi;;;;aucun equivalent (meilleur score 0.0 — « aucun »);;ch.I l.169 + n.14 l.487
E038;CONFIRMED_MISSING;0.07;Pic des activites pecheresses (env. 51 pct on chain);2013;2013;annee;peche;seuil;non;bitcoin;i*;InfrastructureEvent — Incident Ghash.io : dépassement 51% (janvier 2014);09746caaab9347219a82b622960f3b49;2014-01;aucun equivalent (meilleur score 0.07 — « InfrastructureEvent — Incident Ghash.io : dépassem »);;ch.I l.279
E043;CONFIRMED_MISSING;0.17;Transactions illegales sous 1 pct (fin 2013-2018);2013;2013;annee;maturation;seuil;non;bitcoin;i*;InfrastructureEvent — Nasdaq publie donnees de prix Bitcoin (fin 2013);62d87c74d3504d84bfee3d8d5fb44f4d;2013;aucun equivalent (meilleur score 0.17 — « InfrastructureEvent — Nasdaq publie donnees de pri »);;ch.I l.287
E047;CONFIRMED_MISSING;0.14;Comite interprofessionnel DATA cree;2013-07;2013-07;mois;peche;acte;non;bitcoin;v*;InfrastructureEvent — Nakamoto crée le forum Bitcointalk;06ac37fc6cf24af49ec79ec265159ad8;2009-11-22;aucun equivalent (meilleur score 0.14 — « InfrastructureEvent — Nakamoto crée le forum Bitco »);;ch.I l.281
E050;CONFIRMED_MISSING;0.0;Cours proche de 1000 dollars;2013-12;2013-12;mois;maturation;seuil;non;bitcoin;i*;;;;aucun equivalent (meilleur score 0.0 — « aucun »);;ch.I l.293
E051;CONFIRMED_MISSING;0.09;Fixation effective du cap des 21 M (2e crise faux monnayage);2014;2014;annee;maturation;acte;oui;bitcoin;vi;Crise bancaire et financière de 2008;bc083765c6c20c4840d5eef4873c9814;;aucun equivalent (meilleur score 0.09 — « Crise bancaire et financière de 2008 »);n (24 ?) a confirmer;ch.III l.223 + l.219
E060;CONFIRMED_MISSING;0.08;Pivot blockchain sans les UCN (acteurs financiers et medias);2015;2015;annee;maturation;acte;non;transversal;iv*;InfrastructureEvent — WeUseCoins et crypto.fr, medias communautaires (2011);0628e0fc39504e9e8b501e94365bbef8;2011;aucun equivalent (meilleur score 0.08 — « InfrastructureEvent — WeUseCoins et crypto.fr, med »);;ch.I l.289
E061;CONFIRMED_MISSING;0.0;Testnet Olympic (9e iteration);2015-05-09;2015-05-09;jour;maturation;acte;non;ethereum;vii;;;;aucun equivalent (meilleur score 0.0 — « aucun »);;ch.I l.399
E070;CONFIRMED_MISSING;0.11;Franchissement durable des 1000 dollars (debut 2017);2017;2017;annee;maturation;seuil;non;bitcoin;i*;CVE-2017-9230 (ASICboost);6159fc6febc14b1fa512e41f7a6308b6;2017;aucun equivalent (meilleur score 0.11 — « CVE-2017-9230 (ASICboost) »);;ch.I l.293
E074;CONFIRMED_MISSING;0.11;Cours proche de 20000 dollars (fin 2017);2017-12;2017-12;mois;maturation;seuil;non;bitcoin;i*;CVE-2017-9230 (ASICboost);6159fc6febc14b1fa512e41f7a6308b6;2017;aucun equivalent (meilleur score 0.11 — « CVE-2017-9230 (ASICboost) »);;ch.I l.293
E076;CONFIRMED_MISSING;0.11;Point bas vers 3300 dollars (2018-2019);2018;2018;annee;maturation;seuil;non;bitcoin;i*;Bitcoin CVE 2018-17144;db9a125c4c7a4d03bd19d3dc8c474a9e;2018-09-01;aucun equivalent (meilleur score 0.11 — « Bitcoin CVE 2018-17144 »);;ch.I l.293
E078;CONFIRMED_MISSING;0.12;Stabilisation vers 8000 dollars (2019-2020);2019;2019;annee;maturation;seuil;non;bitcoin;i*;InfrastructureEvent — Wrapped Bitcoin / WBTC (2019);2322a151c17c456484772d74a4cfa78a;2019;aucun equivalent (meilleur score 0.12 — « InfrastructureEvent — Wrapped Bitcoin / WBTC (2019 »);;ch.I l.293
E022;POSSIBLE_DUPLICATE;0.35;Creation de Bitcoin Magazine (Buterin et Alisie);2011;2011;annee;poc;acte;non;bitcoin;iv;InfrastructureEvent — Article Forbes sur Bitcoin (Greenberg, avril 2011);21e8e322b58f421aa3540bdeef5fde64;2011-04;equivalent partiel (jaccard 0.25, ancres aucune) — revue humaine requise;fig. situe la premiere publication en 2012;ch.I l.391 + l.281
E032;POSSIBLE_DUPLICATE;0.43;Entree du capital-risque (2.1 M dollars investis);2012;2012;annee;peche;acte;non;transversal;i*;InfrastructureEvent — Capital-risque dans l ecosysteme Bitcoin (2012-2015);7387a5055a284717a5e8221d0bbd216d;2012;equivalent partiel (jaccard 0.33, ancres aucune) — revue humaine requise;;ch.I n.90 l.639
E034;POSSIBLE_DUPLICATE;0.47;Creation de Coinbase;2012;2012;annee;peche;acte;non;bitcoin;i*;InfrastructureEvent — Coinbase : croissance et levee de fonds 75M$ (2015);7cda4562e3ee4e9c8bf969bdf639994a;2015;equivalent partiel (jaccard 0.2, ancres ['COINBASE']) — revue humaine requise;localisation texte de la creation;fig. n 6 + ch.I l.287
E036;POSSIBLE_DUPLICATE;0.35;The Second Bitcoin Whitepaper (Willett);2012-01;2012-01;mois;poc;acte;non;altcoin;vii;First Bitcoin halving;3f908f24165e4c248f55a7f93baab9d6;2012-11;equivalent partiel (jaccard 0.25, ancres aucune) — revue humaine requise;;ch.I l.373
E039;POSSIBLE_DUPLICATE;0.35;Scission de chaine v0.8 (crise n 19);2013;2013;annee;peche;acte;oui (n 19);bitcoin;vi;InfrastructureEvent — Split de chaîne (bug de consensus, 15/03/2013);5eeed0a89f93410184336105b8e4ec33;2013-03-15;equivalent partiel (jaccard 0.25, ancres aucune) — revue humaine requise;;ch.I n.104 l.667
E040;POSSIBLE_DUPLICATE;0.57;Publication du WP d'Ethereum (Buterin);2013;2013;annee;maturation;acte;non;ethereum;vii;InfrastructureEvent — Publication du WP Bitcoin (mailing list);ab2449a123164aa3adff6b180035c327;2008-10-31;libelle proche (jaccard 0.33, ancres ['PUBLICATION', 'WP']) mais dates divergentes (2013 / 2008-10-31);;ch.I l.399
E044;POSSIBLE_DUPLICATE;0.47;BIP16 (P2SH) implementee - multi-signatures;2013-04;2013-04;mois;peche;acte;non;bitcoin;vi;InfrastructureEvent — BIP 16 : Pay-to-Script-Hash (avril 2012);1eb70d76b39b4a86a102b5d42063c3ed;2012-04;equivalent partiel (jaccard 0.0, ancres ['BIP16']) — revue humaine requise;;ch.I l.277 + n.80 l.619
E069;POSSIBLE_DUPLICATE;0.33;PR 9049 (Corallo) - insemination de CVE-2018;2016-10;2016-10;mois;maturation;acte;oui (sequence CVE-2018);bitcoin;vi;CVE-2018-20587 (Vol, Luke Dashjr);c6389ffe8f7a48668883b4845808c388;2018;equivalent partiel (jaccard 0.33, ancres aucune) — revue humaine requise;;ch.III l.87
E025;TOO_AMBIGUOUS;0.25;Creation de la procedure BIP (Taaki);2011;2011;annee;poc;acte;non;bitcoin;vi*;Crise BIP-0016 (Attaque P2SH);1204a4726caa4f95801cbb04aa5a1d3c;;donnees CSV insuffisantes : reserve du CSV : date non donnee dans les fichiers autorises;date non donnee dans les fichiers autorises;ch.I l.391 + ch.III l.449
