entity_id;canonical_name;entity_type;alias;alias_kind;confidence;collision_with;evidence;notes
596f2b5ff3f24f478da71675656c7d58;"""Not your keys, not your coins""";NativeFormula;Not your keys, not your coins;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (2 occ.);forme anglaise declaree par le graphe lui-meme
e555921942e74d19b6d14881d57d7be5;ASIC (matériel de minage);Concept;ASIC;short-form;basse;;nom canonique v110 prive de sa parenthese;ALIAS AMBIGU : designe aussi Fabricant de matériel dédié (ASIC), Fabricants de matériel dédié (ASIC) — ne jamais resoudre automatiquement sur cette chaine
124438f6ba3749adbe7e6caa86aabf99;Actif numérique;Concept;Digital Asset;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (7 occ.);forme anglaise declaree par le graphe lui-meme
8a76b0da92254d76a4a330ddb8b40e4c;All Core Dev Meetings (Ethereum);GovernanceArena;All Core Dev Meetings;short-form;haute;;nom canonique v110 prive de sa parenthese;
d8a44f54a23f498390c0a9c9cefd0a97;All Purpose Money (APM) vs Special Purpose Money (SPM);Concept;APM vs SPM;observed-in-source;haute;;attribut indigeneLabel (v110) — designation indigene;libelle employe par les acteurs eux-memes
d8a44f54a23f498390c0a9c9cefd0a97;All Purpose Money (APM) vs Special Purpose Money (SPM);Concept;SPM;spelling-variant;haute;;glose entre parentheses du nom canonique v110 + assets/MD (20 occ.);
bb565b2132f5430eac529b953711be41;Altcoins, tokens et surcouches;InfrastructureDomain;Altcoins, tokens and overlays;translation-en;moyenne;;proposition;traduction proposee, absente du graphe
b6646b9dd5fe4ddbb3adafb32a7ba57a;Analyse de forum;Method;Forum Analysis;translation-en;haute;;attribut nameEn de l'entite (v110);forme anglaise declaree par le graphe lui-meme
a4f6516331764bd9ab2978f55c3da78b;Analyse de médias;Method;Media Analysis;translation-en;haute;;attribut nameEn de l'entite (v110);forme anglaise declaree par le graphe lui-meme
bec2386f4e3f4eb2a6932ffb1afc2756;Anarchie categorielle;Concept;Categorical Anarchy;observed-in-source;haute;;attribut indigeneLabel (v110) — designation indigene + assets/MD (4 occ.);libelle employe par les acteurs eux-memes
bec2386f4e3f4eb2a6932ffb1afc2756;Anarchie categorielle;Concept;anarchie catégorielle;spelling-variant;haute;;assets/MD (4 occ.) — graphie attestee du nom canonique;le nom canonique v110 est desaccentue
91db2d018fae451f8f8d23d559fa30e1;Architecture à deux étages PoW + PoS (Dash);Concept;Architecture à deux étages PoW + PoS;short-form;haute;;nom canonique v110 prive de sa parenthese;
c7467cafd09e4e3eb4c637c7f8d56000;Argument — Les crises comme révélateurs de la gouvernance duale et polycentrique;Argument;Les crises comme révélateurs de la gouvernance duale et polycentrique;short-form;haute;;nom canonique v110 prive de son prefixe de type;le prefixe « Type — » est une convention du graphe, absente des sources
39a4c914ab2342818739598102c19499;Autorité algorithmique;Concept;Algorithmic Authority;translation-en;haute;;attribut nameEn de l'entite (v110) + assets/MD EN (11 occ.);forme anglaise declaree par le graphe lui-meme
05dae3dc59784e53bf5f7eb6a4d8030e;BIP (Bitcoin Improvement Proposal);Concept;BIP;acronym;haute;;nom canonique v110 prive de sa parenthese + assets/MD (110 occ. en limites de mots);forme courte tres ambigue hors contexte : ne jamais resoudre sur ce seul jeton
